Nation,Boat,Helm,Crew,Builder,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Points,Place
USA,8629,Tyler Moore,Scott Ikle,'96 Waterat,1,2,2,2,3,1,11,1
USA,8083,Neal Fowler,Dave Dyson,'87 Waterat,2,1,1,6,1,2,13,2
USA,8060,Tim Collins,Bill Smith,'87 Rondar,4,4,3,1,2,4,18,3
USA,8194,Thomas Kivney,Todd Johnson,'90 Lindsay,3,3,5,3,4,3,21,4
USA,7199,Stergios Papadakis,Mark Andrews,'80 Lindsay,7,5,6,10,5,5,38,5
USA,8240,Chris Museler,Andrew Crocker,'89 Rondar,DNF,,4,5,6,6,43,6
CAN,7150,Ian Torrie,,'80 Lindsay,,6,9,4,8,DNF,49,7
USA,8438,John Wyles,Ian Hopkins,'94 Rondar,DNF,,7,7,7,7,50,8
USA,8641,Barry Keuhl,Chris,'97 Rondar,,5,8,9,9,DNF,55,9
USA,8024,Dave Chatham,Geoff,'87 Rondar,DNF,,,8,,,63,10
USA,8059,Bob Edenbach,,'87 Rondar,8,,,,,,63,11
