Nation,Sail #,Team,,,R1,R2,R3,R4,R5,Total,Points,Place
USA,7458,Gary Scott,Gina Scott,,2,1,2,2*,1,8,6,1
USA,7791,Dick Peck,Dick Hamilton,,(8 DNF),3,1,1,2,15,7,2
USA,7792,Rob Kalnitsky,Kem King,,1,2,3,3,3*,12,9,3
USA,7613,Joe Keating,Bill Green,,4,4,6*,5,4,23,17,4
USA,7202,?,Bruce Smith,,3,(8 DNF),8 DNF,4,5,28,20,5
USA,7347,John Smith,?,,5,5,4,7,(8 DNF),29,21,6
USA,5169,Carolyn Price,Chad Price,,6,6,5,6,(8 DNF),31,23,7
