Nation,Sail No,Helm,Crew,Club,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,Pts,Pos
GBR,9215,Roger Gilbert,Ben McGrane,Netley SC / Frensham,2,1,6,3,‑15,1,1,4,1,‑14,19,1st
GBR,9222,Dan Holman,Sam Pascoe,Netley SC / Castle Cove,1,4,‑9,‑7,1,6,3,1,3,1,20,2nd
USA,9072,Mike Holt,Rob Woelfel,Santa Cruz YC,3,2,1,‑5,3,2,4,2,(RET),3,20,3rd
GBR,9190,Ian Pinnell,Russ Clark,HISC,4,9,2,4,5,9,‑11,‑11,4,2,39,4th
GBR,9177,Tom Gillard,Geoff Edwards,Budworth SC,‑13,8,4,1,4,7,9,3,‑10,10,46,5th
FRA,9220,Boite,Fonntaine,CVSQ,11,3,3,9,2,10,2,13,(DNC),(DNC),53,6th
GBR,9214,Andy Smith,Carl Gibbon/Simon Briddon, ,9,‑10,5,‑12,6,3,7,10,8,5,53,7th
AUS,9210,Michael Quirk,Tim Needham,RPEYC,7,7,‑18,10,‑11,8,10,5,5,4,56,8th
GBR,9180,Mark Upton‑Brown,Ian Mitchell,Bosham/Hayling,5,‑12,10,8,9,5,5,9,‑12,7,58,9th
GBR,9085,Charlie Walters,Dougal Cram, ,(DNC),(DNC),14,2,13,12,6,7,2,6,62,10th
GBR,8963,Martin Hodgson,Adrian Miles,SSC,10,(RET),8,6,12,4,12,‑15,6,11,69,11th
GBR,9124,Terry Scutcher,Christian Diebitsch, ,8,6,7,14,10,16,8,16,(DNC),(DNC),85,12th
GBR,9178,Chris Lewns,Norman Byrd,Whitstable YC,14,‑15,12,‑19,7,11,15,8,11,12,90,13th
GBR,9093,Ben Iliffe,Harry Briddon, ,6,5,(RET),18,‑22,18,18,6,14,15,100,14th
RSA,8905,Graeme Willcox,James Read,Netley SC,15,11,11,11,‑17,13,14,17,9,(DNS),101,15th
USA,8854,Craig Thompson,Paddy Lewis,Thompson Boat Works,17,(RET),‑19,17,8,19,17,12,15,9,114,16th
GBR,9104,Adam Kenney,Richard Nurse,Burton SC,12,(DNC),15,15,‑19,14,13,18,16,13,116,17th
GBR,9126,Stuart Turnbull,Mike Priddle,Burton SC,18,13,17,20,20,15,‑21,(DNC),7,8,118,18th
GBR,9125,Roger Deane,Tim Williams,Rock SWSC,‑21,16,‑23,16,21,20,19,14,13,16,135,19th
GBR,9156,Russell Wheeler,Lee Marriott,Isle of Sheppey SC,23,(RET),16,‑26,26,22,16,23,17,17,160,20th
GBR,9136,Jamie Mears,Stewart Mears,RCYC,16,14,13,22,16,(DNC),(DNC),DNC,DNC,DNC,162,21st
FRA,9219,Elisabeth Neidhart,Henry Chevet,YCIF,(RET),(DNC),20,13,14,17,24,21,DNC,DNC,163,22nd
GBR,8881,Neil Rabbitts,Jonathan Carter,Burton SC,(DNC),(DNC),21,25,24,23,22,22,18,18,173,23rd
GBR,8860,Bobbie Johnson,James King,Chasewater SC,22,(RET),25,23,18,21,20,20,(DNC),DNC,176,24th
GBR,9145,Jim McGillivray,John McLean,Prestwick SC,19,(RET),22,24,25,24,23,19,(DNC),DNC,183,25th
FRA,9150,De Kegariou,Castledine,CNA,20,17,24,21,23,(DNC),(DNC),DNC,DNC,DNC,186,26th
