Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Brutto,Netto,Place
GER,8769,Stefan Böhm,Gerald Roos,SCV,1,3,1,2,1,1,9,,1
GER,8750,Michael Rössler,Holger Neuhaus,SKMD,4,1,2,3,2,DNC 13,25,,2
BEL,8649,Bart Meyndonck,Chris Lehouck,VVWH,6,4,5,4,3,3,25,,3
GER,8441,Rainer Gerdes,Falk Stenger,SSCK,2,2,3,7,9,8,31,,4
BEL,8463,Emil Van Hemeldonck,Jan Van Hemeldonck,VVW,3,5,6,8,6,4,32,,5
GER,8747,Jörg Thumann,Oliver Stieglitz,TuSJ,5,9,7,6,7,2,36,,6
GER,8609,Alexander Holzapfel,Carsten Engel,PSVK,8,6,8,5,4,5,36,,7
GER,8580,Markus Mühlbauer,Andreas Achterberg,DTYC,10,OCS 13,4,1,5,DNC 13,46,,8
FRA,8742,Philippe Noclain,Jean-Pierre Noclain,CVA,7,7,9,9,8,6,46,,9
BEL,8564,Didier Trine,Philippe Vandersteen,KYC,9,8,10,10,10,7,54,,10
BEL,8352,Benoît Raucent,Phillippe Chevelier,ULYC,12,DNF 13,11,11,DNF 13,DNC 13,73,,11
BEL,6437,Bert Lernout,Jeoren Belis,,11,DNF 13,12,DNF 13,DNC 13,DNC 13,75,,12
