Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Brutto,Netto,Place
GER,8772,Ronald Roos,Kirsten Roos,SVWu,2,1,1,3,1,1,2,11,,1
BEL,8649,Bart Meyndonck,Chris Lehouck,VVWH,1,3,2,1,3,3,3,16,,2
FRA,8716,Christian Silvestre,Christian Vallaud,CVB,3,4,4,4,2,6,1,24,,3
FRA,8484,Philippe Blanchard,Carole Blattner,ACAL,5,2,3,2,OCS 15,4,4,35,,4
FRA,7941,Veronique Brenet,Jean-Pierre Peter,ACAL,4,9,6,6,4,2,5,36,,5
FRA,8742,Philippe Noclain,Jean-Pierre Noclain,CVA,6,5,5,8,5,8,7,44,,6
BEL,8553,Paul Gorremans,Marie-Pierre Gorremans,VVWA,11,11,7,7,6,5,6,53,,7
BEL,8564,Didier Trine,Philippe Vandersteen,KYC,12,6,8,5,9,10,9,59,,8
FRA,8301,Bernard Blondy,Roger Chabaud,CVA,7,7,12,9,11,7,8,61,,9
BEL,8352,Benoît Raucent,Phillippe Chevelier,ULYC,9,10,9,10,7,9,13,67,,10
FRA,8770,Bruno Verriez,Jean-Marc Noclain,CCV,8,8,10,DNF 15,10,11,11,73,,11
BEL,7979,Luc Crets,Cedric Crets,,10,12,13,11,12,12,12,82,,12
BEL,8062,Frangois Hardy,Vincent Hardy,HZC,DNC 15,DNC 15,DNC 15,DNC 15,8,13,10,91,,13
BEL,8303,R Bender,D Salembier,HZC,13,13,11,12,DNC 15,DNC 15,DNC 15,94,,14
