Country,"Boat Number",Helm,Crew,Club,"Race 1","Race 2","Race 3","Race 4","Race 5","Race 6",Brutto,Netto,Place
SWE,8655,"Krister Bergström","Johan Barne",GKSS,2,1,1,1,3,5,13,,1
GER,8651,"Claas Lehmann","Martin Schöler",NRV,4,3,2,7,1,1,18,,2
DEN,8620,"Jan Saugmann","Morten Ramsbæk",HiS,1,2,3,2,4,3,15,,3
DEN,8656,"Jörgen Riber","Henrik Buhl",SLET,3,5,4,4,5,4,25,,4
DEN,8807,"Tom Bøjland","Jakob Karbo",Farum,"DNF 13",6,6,3,2,6,36,,5
SWE,8806,"Ebbe Rosén","Olle Wenrup","Mai Arhojd","DNC 13",4,5,"DSQ 13",6,2,43,,6
SWE,8585,"Jan Eriksson","Johan Arvedson",NSS,"DNF 13",7,7,8,7,7,49,,7
DEN,8581,"Jon Andersen","Lars B Andreasen",Reers,"DNF 13",8,9,5,8,9,52,,8
SWE,8033,"Karl Thews","Björn Thews",NS,"DNC 13",10,10,6,9,"DNC 13",61,,9
DEN,8440,"Per Larsen","Henrik Andersen",Farum,5,9,8,"DNC 13","DNC 13","DNC 13",61,,10
SWE,8542,"Henrik Gustafsson","Robert Larsson",OeKP,6,"DNC 13","DNC 13","DSQ 13",10,8,63,,11
DEN,8389,"Andreas Dietze","Georg Mittermayer",Brevik,7,11,11,"DNF 13","DNC 13","DNC 13",68,,12
