Nation,SailNo,HelmName,CrewName,Club,R1,R2,R3,R4,R5,R6,R7,R8,Total,Boat,Net,Rank
CAN,8264,Jeff Boyd,Steve Adolph,NSC,1,1,1,1,1,(2.0),(2.0),2,11,Desperate Measures,7,1st
CAN,8600,Marie Gendron,Christian Deschamps,NSC,2,2,(5.0),2,(7.0 DNC),1,4,3,26,Mystery,14,2nd
CAN,8696,Debbie Ashby,David Adams,NSC,3,3,2,(4.0),3,3,1,(4.0),23,Loose Unit,15,3rd
CAN,8410,Clarissa Bush,Chris Gillies,NSC,(4.0),4,3,(5.0),2,4,3,1,26,Bandersnatch,17,4th
CAN,8735,Brent Beninger,Tom Deczky,NSC,5,(6.0),4,3,4,5,(6.0),5,38,Spagetti Factory,26,5th
CAN,8260,Shona Moss Lovshin,Kyber or Devlin Lovshin,GRYC,(7.0 DNS),5,6,6,(7.0 RET),6,5,7.0 DNF,49,Red Rocket,35,6th
