Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Points Total,Points Netto,Place
USA,9262,Howard Hamlin,Andrew Zinn,NHYC - ABYC,1,1,2,3,3,[83 DNC],93,10,1
GBR,9215,Roger Gilbert,Ian Mitchell,Hayling Island SC,4,8,3,4,[11],1,31,20,2
GBR,9093,Harvey Hillary,Archie Massey,Itchenor,10,7,6,1,[16],5,45,29,3
GBR,9283,Ian Pinnell,Robert Woelfel,Hayling Island SC,[12],4,7,10,8,6,47,35,4
USA,9266,Mike Holt,Carl Smith,Santa Cruz Yacht Club,8,2,5,[20],6,15,56,36,5
AUS,9278,Malcolm Higgins,Nick Johnston,BSYC,3,12,1,[22],9,12,59,37,6
GBR,9232,Robert Gullan,Paul Childs,Hayling Island SC,7,9,14,[83 DNF],7,4,124,41,7
AUS,9263,Michael Quirk,Tim Needham,Cncb,14,5,9,6,[43],7,84,41,8
USA,9284,AJ Conrads,Jon Bell,Tahoe Yacht Club,[83 DNC],21,10,7,2,11,134,51,9
GER,9251,Jan-Philipp Hofmann,Felix Björn Brockerhoff,DYC,2,11,[83 DNC],8,37,2,143,60,10
GBR,9039,Ben McGrane,James Ross,Hayling Island SC Netley SC,11,16,[18],13,17,3,78,60,11
GBR,9088,Andy Smith,Jonny Mildred,Northampton SC,15,[24],15,12,13,10,89,65,12
GBR,9246,Michael Sims,Carl Gibbon,Burton,6,6,4,24,27,[83 RET],150,67,13
GER,9260,Tim Böger,Finn Böger,HSC,13,[26],21,2,20,20,102,76,14
GBR,9104,Andy Wilde,Harry Briddon,Ogston SC,27,10,12,[69],24,9,151,82,15
GER,9258,Alexander Holzapfel,Arne Wittemer,Post-Sportverein Koblenz,[83 DNC],14,17,11,21,24,170,87,16
GBR,8935,Craig Burlton,Richard Anderton,Royal Southern,20,23,20,18,[29],13,123,94,17
SUI,9267,Caroline Jacot,Philippe Jacot,CNB,9,40,26,19,4,[83 DNC],181,98,18
GER,9275,Stefan Köchlin,Andréas Achterberg,SVS,18,13,8,21,40,[51],151,100,19
GBR,9274,Paul Brotherton,James Fawcett,Etherow Country Park / HISC,5,3,[83 DNC],9,1,83 DNC,184,101,20
GER,9198,Michael Daisenberger,Johannes Tellen,DTYC,21,20,11,23,33,[83 DNC],191,108,21
GER,9268,Henrik Schade,Sebastian Wiemer,Wassersportverein Wulsdorf e.V.,25,29,24,[30],5,26,139,109,22
USA,9247,Mike Punnett,Alex Davies,Penn Cove Yacht Club,35,19,16,17,[48],22,157,109,23
