Segel-Nr.,Boat no,Steuermann/-frau,Vorschoter/-in,Club/Land,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Points,Platz
GER,8542,Tom Swift,Martin Schöler,WYC,3,DNS,2,1,1,7,1,,1
GER,8500,Jörg Häger,Hans-Heinrich Rix,SCB,1,1,5,2,3,OCS,5,,2
GER,8633,Jens Hartwig,Wolfi Stückl,PYC,7,2,3,5,2,2,12,,3
GER,8665,Nicolai Völckner,Lars Dehne,HSC,2,6,9,6,4,4,9,,4
GER,8671,Markus Mühlbauer,Uwe Lätzsch,DTYC,15,20,1,4,10,3,2,,5
GER,8517,Felix Ismar,Arnd Howar,WYD,6,7,11,10,15,1,4,,6
GER,8607,Bernd Kowalzig,Kai Erhardt,SCB,4,9,18,8,9,6,6,,7
GER,8567,Jörg Detmold,Holger Neuhaus,SCH,8,3,23,11,7,9,10,,8
GER,8621,Dirk Filimonow,Lars Stöckmann,SCSZ,DSQ,13,4,7,11,5,8,,9
GER,8470,Norbert Dasenbrock,Sven Meier,KSV,5,10,8,12,8,OCS,7,,10
GER,8465,Jens Hufnagel,Karsten Morf,SCStM,17,16,19,3,5,8,3,,11
GER,8522,Carsten Engel,Norbert Becker,PSVK,12,12,12,9,6,13,21,,12
GER,8414,Stefan Worm,Mathias Kaiser,SCR,10,15,13,DNS,16,11,14,,13
GER,8424,Peter Gerdts,Karsten Lahrs,SVC,13,18,10,17,12,16,26,,14
GER,8571,Karl Heinz Hilgers,Wolfgang Bogacki,DSCU,27,8,28,14,21,6,11,,15
GER,8224,Lars Thiel,Anette Wegener,ZSV,19,14,17,16,13,19,19,,16
GER,8475,Göran Berggren,Christian Schuster,SCLW,25,23,DNS,15,19,20,13,,17
GER,8478,Volker Görge,Marlies Endjer,TSVS,11,5,14,DNS,DNS,OCS,15,,18
GER,8229,Lars Niebur,Björn Helmerichs,,DNS,4,26,21,DNS,15,17,,19
GER,8529,Hans-Georg Joost,?,YCRM,9,11,24,19,20,DNS,DNS,,20
GER,8430,Klaus Heeschen,?,VFS,DNS,27,20,22,18,18,18,,21
GER,7778,Dirk Frank,Stefan Kempf,SCS,18,21,15,DNS,24,24,23,,22
GER,8480,Philip Ismar,Christian Paschen,,22,24,21,23,14,23,DNS,,23
GER,8373,Thorsten Hülsmann,Jens Wilke,,DNS,16,7,18,DNS,14,DNS,,24
GER,8297,Andre Tirre,Frank Wille,YCZ,21,32,25,DNS,23,10,24,,25
GER,8404,Hans-Christian Schwieger,Jörg Siebert,NRV,26,25,27,20,25,12,DNS,,26
GER,8674,Rainer Kremkow,Petra Beier,SCO,16,29,DSQ,DNS,22,17,20,,27
GER,7548,Thilo König,Kristine Förster,,23,33,19,24,DNS,22,22,,28
GER,8539,Andreas Klein,Marius Knippscheer,,20,22,DNS,25,DNS,25,16,,29
GER,8222,Christian Koch,Dirk Schrage,KYC,24,17,22,26,DNS,21,DNS,,30
GER,8692,Rod Simpson,Roger Woolam,,14,28,DNS,DNS,DNS,DNS,DNS,,31
GER,8256,Eike Dietrich,?,,DNS,26,6,DNS,17,DNS,DNS,,32
GER,8575,Klaus Rieck,Sven Friederich,BSV,DNS,DNS,DNS,13,DNS,DNS,DNS,,33
GER,744*,Arnim Höchst,Steffen Dereich,,DNS,31,DNS,DNS,DNS,DNS,25,,34
GER,7443,Kai Blekker,Ulf Gosejacob,BCN,DSQ,30,DNS,DNS,DNS,DNS,DNS,,35
