Land,Segel-Nr.,Steuermann/-frau ,Vorschoter/-in ,Club/Land ,Laufwertunge 1,Laufwertunge 2,Laufwertunge 3,Laufwertunge 4,Punkte,Punkte,Pl. 
GER,8657,Martin Görge,Rainer Görge,TSVS,1,1,2*,1,5,3,1
GER,8670,Wolfgang Hunger,Holger Jess,PYC,2*,2,1,2,7,5,2
GER,8665,Nicolai Völckner,Lars Dehne,HSC,33 OCS*,3,4,4,44,11,3
GER,8500,Jörg Häger,Thorsten Drewes,SCB,4,4,6,33 DNC*,47,14,4
GER,8590,Stefan Köchlin,Peter Hobusch,SKF,6,8*,5,6,25,17,5
GER,8575,Tom Gosch,Rolf Meyer,ENSFV,12,33 OCS*,3,3,51,18,6
GER,8542,Tom Swift,Sven Kurka,WYC,5,5,8,11*,29,18,7
DEN,8082,Lasse Andreasen,Jens Langedorf,,7,6,7,8*,28,20,8
GER,8599,Jens Knop,Dirk Kaiser,WSC,16*,7,9,7,39,23,9
GER,8471,Jens-Peter Schlomka,Klaus Stammerjohann,TSVS,10,9,11*,5,35,24,10
GER,8649,Ronald Roos,Stefan Böhm,SVWu,3,12,12,14*,41,27,11
GER,8663,Ulf Pleßmann,Hans-Heinrich Rix,SVST,9,11,10,12*,42,30,12
GER,8505,Adalbert Kluck,Gerhard Schmidt,TSVS,18*,10,13,9,50,32,13
GER,8609,Christian Müllejans,Carsten Engel,SVWu,13,22,15*,10,60,45,14
GER,8334,Klaus Duncker,Sönke Reibisch,WSCW,15,13,17*,13,58,41,15
GER,8662,Jan Stölken,Matthias Brühl,SCU,8,21*,21,15,65,44,16
GER,8607,Bernd Kowalzig,Kai Erhardt,SCB,11,16,20,23*,70,47,17
GER,8664,Carsten Hammer,Andreas Wagner,TSVS,17,14,16,33 DNC*,80,47,18
GER,8575,Klaus Rieck,Sven Friederich,BSV,23*,16,14,17,70,47,19
GER,8256,Carmen Bernitt,Eike Dietrich,WSCW,25,15,33 DNF*,16,89,56,20
GER,8414,Stefan Worm,Mathias Kaiser,SCR,21*,19,18,19,77,56,21
DEN,8581,Jon Andersen,Lasse Andreasen,,20*,20,19,18,77,57,22
GER,580*,Ingo Gerke,Jobst von Werder, ,19,24,33 DNF*,21,97,64,23
GER,8412,Antje Paulsen,Björn Schaar,BSV,26*,26,22,20,94,68,24
GER,8674,Rainer Kremkow,Petra Beier,SCO,24,25,33 DNF*,25,107,74,25
GER,7548,Thilo König,Kristine Förster, ,30,33 DNC*,23,22,108,75,26
GER,8539,Oliver Ziems,Ute Ziems,RoYC,14,23,33 DNF*,33 DNC,103,70,27
GER,8465,Jens Hufnagel,Markus Schöner,SCStM,22,17,33 DNF*,33 DNC,105,72,28
GER,8430,Klaus Heeschen,Alexandra Schulz,VFS,29,27,33 DNF*,33 DNC,122,89,29
GER,7856,Kai-Uwe Weiss,Eric Wolf, ,33 OCS*,33 DNC,33 DNF,24,123,90,30
GER,8478,Karsten Morf,Heike Jansen,CKA,27,33 DNC*,33 DNF,33 DNC,126,93,31
GER,8387,Ole Paulsen,Oliver Wendt,BSV,28,33 DNC*,33 DNF,33 DNC,127,94,32
