Nation,Segel-Nr.,Steuermann/-frau,Vorschoter/-in,Club/Land,Laufwertung 1,Laufwertung 2,Laufwertung 3,PunkteRL,Platz
GER,8671,Markus Mühlbauer,Angela Stenger,DTYC,1,1,4,6,1
GER,8633,Stefanie Wagner,Wolfi Stückl,DTYC,3,2,1,6,2
GER,8642,Stefan Schollmayer,Francesco Sanguino,SCMSP,2,5,2,9,3
GER,8652,Sebastian Dörr,Christian Dörr,HSC,4,4,5,13,4
GER,8562,Wolfgang Seifert,Christian Voggeser,SGR,5,8,7,20,5
GER,8413,Martin Eckel,Thoralf Grager,HSC,6,9,8,23,6
GER,8691,Günther Böckle,Frank Heimburger,SSCM,8,11,6,25,7
GER,8528,Falko Braun,Stefan Worm,SCR,9,6,10,25,8
GER,8656,Roger Rachuba,André Müller,SCSt,DNF,3,3,26,9
GER,8519,Robert Wisolek,Alexander Steger,SVM,10,7,12,29,10
GER,8386,Jochen Heydolph,Christian Schuster,SCW,7,14,9,30,11
GER,8473,Oliver Kraft,Andreas Göggel,SSCM,11,12,11,34,12
GER,5045,Sören Dretzko,Peter Krüger,PBYC,13,15,14,42,13
GER,8098,Albrecht Maisch,Frank Letsche,SGK,14,16,15,45,14
GER,8392,Alexander von Mertens,Florian Usagel,STSC,DNS,13,13,46,15
GER,8598,Klaus Riedl,Peter Bohland,MBSC,12,18,DNF,50,16
GER,8428,Helmut Spiske,Kurt Motzet,SGR,DNC,10,DNF,50,17
GER,8254,Michael Kleis,Manfred Kern,SSCM,DNS,17,DNF,57,18
GER,7768,Thorsten Koch,Christina Friedrich,HSC,DNS,19,DNF,59,19
