Nation,Boat no,Helm,Crew,,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,,Points,Place
GER,8670,Wolfgang Hunger,Holger Jess,PYC,2,1,5,1,[32 DNC],1,42,10,1
SWE,8655,Krister Bergström,Thomas Moss,SWE,1,[11],7,2,2,2,25,14,2
DEN,8656,Jørgen Schönherr,Jacob Bojsen-Møller,DEN,4,8,[14],3,1,3,33,19,3
GER,8550,Dietrich Scheder-Bieschin,Uwe Lätzsch,NRV,10,2,3,4,3,[12],34,22,4
DEN,8620,Jan Saugmann,Morten Ramsbæk,DEN,3,[5],4,5,5,5,27,22,5
GER,8659,Axel Oberemm,Gerd Linnemann,BYC,[15],4,1,6,4,11,41,26,6
DEN,8622,Tom Bøjland,Anders Friis,DEN,8,3,2,[10],7,8,38,28,7
GER,8663,Ulf Pleßmann,Sven Kurka,SVST,[9],6,8,8,8,7,46,37,8
GER,8575,Tom Gosch,Rolf Meyer,ENSFV,6,[14],13,7,6,6,52,38,9
GER,8634,Jörgen Thumann,Franco Weichel,TuSJ,11,7,11,11,[32 DNC],20,92,60,10
GER,8505,Adalbert Kluck,Gerhard Schmidt,TSVS,5,[18],21,14,15,9,82,64,11
GER,8563,Mathias Jetschke,,WSCW,[32 DNC],12,10,15,10,19,98,66,12
GER,8657,Martin Görge,,TSVS,7,9,9,[32 DNC],32 DNC,4,93,61,13
GER,8590,Stefan Köchlin,Ulrich Meyer,SKF,[32 DNC],10,19,16,11,13,101,69,14
GER,8608,Bernd Rasenack,Jörn Richter,ZSK,16,17,16,13,[32 DNC],10,104,72,15
DEN,8476,Per Larsen,,DEN,[32 DNC],13,15,19,9,18,106,74,16
DEN,8581,Jon Moller-Andersen,,DEN,12,19,[23],18,13,17,102,79,17
GER,8549,Jens Meinert,Jens Wilke,BCN,[32 DNC],22,17,12,14,16,113,81,18
GER,8539,Olaf Oberländer,,ROYC,[32 DNC],16,12,17,16,21,114,82,19
GER,8567,Jörg Detmold,Holger Neuhaus,SCH,13,15,22,[32 DNC],32 DNC,14,128,96,20
GER,8404,Hans-Christian Schwieger,Waldemar Schönebeck,NRV,[32 DNC],21,18,22,18,24,135,103,21
GER,8376,Volker Niediek,Stefan Heising,BSV,[32 DNC],32 OCS,6,9,12,32 OCS,123,91,22
GER,8222,Christian Koch,Justus Rauno,KYC,18,[32 DNS],25,21,19,22,137,105,23
DEN,8364,Bent Lundsager,,DEN,[32 DNC],20,20,20,17,32 DNC,141,109,24
GER,8430,Klaus Heeschen,Gundula Miksch,VFS,[32 DNC],32 DNC,24,23,20,32 DNC,163,131,25
GER,8607,Bernd Kowalzig,Ulrich Ellerbeck,SCB,14,[32 DNC],32 DNC,32 DNC,32 DNC,15,157,125,26
GER,8517,Felix Ismar,Arnd Howar,WYD,17,[32 DNC],32 DNC,32 DNC,32 DNC,25,138,138,27
GER,8478,Karsten Morf,,CKA,[32 DNC],32 DNC,32 DNC,24,21,32 DNC,173,141,28
GER,7443,Kai Blekker,Ulf Gosejacob,BCN,[32 DNC],32 DNS,32 DNF,25,22,32 DNC,175,143,29
GER,8166,Roland Boettcher,Gabi Boettcher,SVGA,[32 DNC],23,26,32 DNC,32 DNF,32 DNC,177,145,30
GER,8065,Konrad Barop,,RSV,[32 DNC],32 DNC,32 DNC,32 DNC,32 DNC,23,183,151,31
