,Segel-Nr.,Steuermann/-frau,Vorschoter/-in,Club/Land,Laufwertunge 1,Laufwertunge 2,Laufwertunge 3,,Pl.
GER,8519,Robert Wisolek,Christian Schuster,SVM,,,,,1
GER,8562,Wolfgang Seifert,Christian Voggeser,SGR,,,,,2
GER,8518,Nils Burghard,Francesco Sanguino,TSVM,,,,,3
GER,8671,Angela Stenger,Markus Mühlbauer,MYC,,,,,4
GER,8573,Michael Tetzner,Thomas Tetzner,SCLW,,,,,5
GER,8386,Jochen Heydolph,Eckard Busch,SCW,,,,,6
GER,8413,Martin Eckel,Paula Eiclary-Wüst,HSC,,,,,7
GER,8428,Greger Thoralf,,,,,,,8
GER,7870,Andreas Müller,Christoph Müller,YCSS,,,,,9
GER,7891,Ulli Stegbauer,Robert Plecher,HSC,,,,,10
GER,7908,Uwe Hoffmann,Verena Hoffmann,,,,,,11
GER,8598,Klaus Riedl,Nicolay Riedl,MBSC,,,,,12
GER,7768,Christina Friedrich,Thorsten Koch,DHH,,,,,13
GER,0,Andrea,Dirk,,,,,,14
GER,8633,Ines Berghof,Scarlett Endeja,,,,,,15
