,Segel-Nr.,Steuermann/-frau,Vorschoter/-in,Club/Land,Laufwertunge 1,Laufwertunge 2,Laufwertunge 3,Punkte,Pl.
GER,8480,Joachim Hellmich,Christian Paschen,WYD,1,3,1,5,1
GER,8542,Tom Swift,Sven Kurka,WYC,2,5,3,10,2
GER,8623,W. Gieser,Gerald Roos,SVVu,8,1,4,13,3
GER,8575,Sabine Meyer,Rolf Meyer,NRV,5,7,2,14,4
GER,8517,Felix Ismar,Arnd Howar,WYD,7,2,8,17,5
GER,8608,Bernd Rasenack,J. Reiner,ZSK,3,11,6,20,6
GER,8609,Christian Müllejans,Carsten Engel,SVWu,6,10,5,21,7
GER,8465,Jens Hufnagel,Thomas Jung,SCStM,11,4,7,22,8
GER,8656,Roger Rachuba,Jens Wilke,SCSt,4,9,10,23,9
GER,8649,Ronald Roos,Kirsten Roos,SVWu,9,6,11,26,10
GER,8567,Jörg Detmold,Holger Neuhaus,SCH,12,8,9,29,11
GER,8546,Dirk Hänsgen,Frank Rupprich,SVPB,10,12,12,34,12
GER,8178,Michael Patz,Holger Rosenberg,RSCWW,14,14,13,41,13
GER,8478,Karsten Morf,S. Henze,CKA,13,13,DNC,45,14
GER,5987,Dieter Schreiber,A. Schwalk,PBYC,16,15,15,46,15
GER,7584,Mark Felling,Eberhard Schockenhoff,WSCKM,15,16,16,47,16
GER,8279,Maike Miechelsen,Kay-Enno Brink,,18,17,14,49,17
GER,5045,Sören Dretzko,B. Kleine,PBYC,17,DNC,DNC,55,18
