Land,Segel-Nr.,Steuermann/-frau ,Vorschoter/-in ,Club/Land ,Laufwertunge 1,Laufwertunge 2,Laufwertunge 3,Punkte,Pl.
GER,8376,Volker Niedik,Stefan Heising,BSV,1,2,2,5,1
GER,8542,Tom Swift,,WYC,2,3,3,8,2
GER,8633,Jens Hartwig,Wolfi Stückl,PYC,3,1,5,9,3
GER,8671,Markus Mühlbauer,Angela Stenger,DTYC,5,6,4,15,4
GER,8659,Axel Oberemm,Gerd Linnemann,BYC,4,12,1,17,5
GER,8580,Ernst Meyer,Andreas Achterberg,SpYC,7,10,6,23,6
GER,8385,Martin Bernauer,Ulf Geißler,CNFT,10,5,10,25,7
GER,8575,Klaus Rieck,Sven Friedrich,BSV,11,8,8,27,8
GER,8507,Armin Eismann,Tino Käcks,SCA,17 DNF,4,9,30,9
GER,8469,Christian Schulze,Bastian Wyschka,SCArg,6,7,17 DNF,30,10
GER,8519,Robert Wisolek,Christian Schuster,SVM,8,17 DNF,7,32,11
GER,8674,Rainer Kremkow,Carsten Kowalski,SCO ,14,11,12,37,12
GER,6769,Roger Bussenius,Robert Bussenius,SCOH,12,9,17 DSQ,38,13
GER,8530,Alexander von Mertens,Jochen Heydolph,STSC,13,17 DNF,11,41,14
GER,8253,Arwed Meyer,Harald Nowka,ZYC,9,17 DNF,17 DNF,43,15
GER,8235,Thomas Herter,Petra Beier,VSaW,17 DNF,17 DNF,13,47,16
