Land,Segel-Nr.,Steuermann/-frau ,Vorschoter/-in ,Club/Land ,Laufwertunge 1,Laufwertunge 2,Laufwertunge 3,Laufwertunge 4,Points,Points,Pl. 
GER,8563,Mathias Jetschke,Holger Jess,WSCW,1,2*,1,1,5,3,1
GER,8590,Stefan Köchlin,Ulrich Meyer,SKF,3,5*,2,2,12,7,2
GER,8570,Hans-Heinrich Rix,Karsten Morf,RSVW,9*,1,7,3,20,11,3
GER,8531,Jürgen Hatje,Ole Günther,SYC,2,4,6,9*,21,12,4
GER,8539,Oliver Ziems,Ute Ziems,RoYC,6,11*,4,4,25,14,5
GER,8370,Michael Rehberg,Harald Nowka,VBS,12*,8,3,8,31,19,6
GER,8259,Uwe Knop,Ricarda Wolf,WSC,5,7,10*,7,29,19,7
GER,8599,Jens Knop,Dirk Kaiser,WSC,7,6,9,11*,33,22,8
GER,8607,Bernd Kowalzig,Kai Erhardt,SCB,13*,12,5,5,35,22,9
GER,8385,Martin Bernauer,Ulf Geißler,CNFT,14*,3,11,12,40,26,10
GER,8334,Klaus Duncker,Sönke Reibisch,WSCW,4,22 DSQ,8*,6,40,32,11
GER,7035,Michael Köritz,Robert Meitzner,SVO,15*,10,13,14,52,37,12
GER,7548,Thilo König,,,8,9,17,22 DNF*,56,34,13
GER,8575,Klaus Rieck,Sven Friederich,BSV,19*,14,12,10,55,36,14
GER,8222,Christian Koch,Justus Rauno,KYC,10,13,19*,17,59,40,15
GER,8674,Rainer Kremkow,Carsten Kowalski,SCO,16*,16,15,13,60,44,16
GER,8430,Klaus Heeschen,Alexandra Schulz,VFS,11,22 DSQ,18*,16,67,49,17
GER,8412,Antje Paulsen,Björn Schaar,BSV,21*,17,15,14,67,46,18
GER,8421,Christoff Blecken,Hannes Becker,BSV,18,22 DNS*,16,18,74,52,19
GER,6769,Roger Bussenius,Robert Bussenius,SCOH,17,15,22 DNF*,22 DNS,76,54,20
GER,7861,Annegret Rieck,Merle Roßdeutscher,BSV,20,22 DNF*,22 DSQ,19,83,61,21
