,Sail No.,Helm,Crew,Club/Country,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Points,Points,Pos.
GER,8670,Wolfgang Hunger,Holger Jess,PYC,1,1,1,1,1,1,29 DNC*,35,6,1
GER,8669,Tim Böger,Phillip Christian,HSC,3,2,4,29 DSQ*,3,2,2,45,16,2
GER,8657,Martin Görge,Rainer Görge,TSVS,2,5,2,2,4,4,29 DNF*,48,19,3
GER,8659,Axel Oberemm,Gerd Linnemann,BYC,8*,4,3,3,5,5,1,29,21,4
DEN,8082,Sören Andreasen,Jens Langedorf,,10,3,5,4,7,12*,3,44,32,5
GER,8575,Tom Gosch,Rolf Meyer,ENSFV,6,7,7,5,2,6,29 DNC*,62,33,6
GER,8590,Stefan Köchlin,Ulrich Meyer,SKF,4,6,8,6,10,29 DNC*,7,70,41,7
GER,8580,Christian Schäfer,,,5,10,6,18*,8,10,5,62,44,8
GER,8376,Volker Niedik,Stefan Heising,BSV,12,9,14*,10,6,9,4,64,50,9
GER,8570,Hans-Heinrich Rix,Alexander Happ,RSVW,14*,12,13,7,12,7,10,75,61,10
GER,8478,Volker Görge,Karsten Morf,TSVS,13,15,20*,8,9,8,9,82,62,11
GER,8607,Bernd Kowalzig,Ulrich Ellerbeck,SCB,11,25*,18,9,11,11,6,91,66,12
GER,8609,Christian Müllejans,Carsten Engel,SVWu,9,18*,9,11,17,15,11,90,72,13
GER,8505,Adalbert Kluck,Gerhard Schmidt,TSVS,17,17,21*,15,16,3,8,97,76,14
GER,8517,Felix Ismar,Arnd Howar,WYD,7,16*,12,14,13,16,16,94,78,15
GER,8634,Jörg Thumann,Oliver Stieglitz,TuSJ,15,13,11,21*,14,13,13,100,79,16
DEN,8581,Jon Moller-Andersen,,,29 DSQ*,11,15,17,15,14,19,120,91,17
GER,8471,Jens Schlomka,Mira Grättinger,TSVS,20,8,16,13,29 DNC*,20,15,121,92,18
GER,8531,Jürgen Hatje,,SYC,16,14,10,12,29 DNC*,29 DNC,12,122,93,19
GER,8404,Hans-Christian Schwieger,Waldemar Schoenebeck,NRV,22*,22,19,19,18,19,14,133,111,20
GER,8674,Rainer Kremkow,Petra Beier,SCO,18,21,25,25,29 DNC*,17,22,157,128,21
GER,8430,Klaus Heeschen,Christoph Heuser,VFS,24,27*,27,24,20,18,17,157,130,22
GER,8424,Peter Gerdts,Karsten Lahrs,SVC,21,26,17,20,29 DNC*,29 DNC,18,160,131,23
GER,8513,Hauke Rathjens,Frank Uhlmann,KYC,23,20,22,23,19,29 DNC*,29 DNC,165,136,24
GER,8507,Armin Eismann,Bodo Karras,SCA,19,19,24,16,29 DNC*,29 DNC,29 DNC,165,136,25
GER,7923,Jan Schulte-Rhade,Norman Hüper,SVK,29 DSQ*,24,26,29 DSQ,21,21,20,170,141,26
GER,8601,Jürgen Feuerhake,Hanno Barth,YCSB,25,28,28,26,29 DNC*,29 DNC,21,186,157,27
GER,8654,Gisela Bittner,Christian Bittner,SGaM,29 DSQ*,23,23,22,29 DNC,29 DNC,29 DNC,184,155,28
