Nation,Segel-Nr.,Steuermann/-frau,Vorschoter/-in,Club/Land,Race 1,Race 2,Race 3,Race 4,Platz
SUI,8426,Marcel Pluss,Yvo Durr,,,,,,1
SUI,8440,Urs Scherrer,Peter Schmidle,,,,,,2
SUI,8612,Heiner Kyburz,Herbert Hermann,,,,,,3
GER,8572,Achim Funk,Thomas Löwen,SCLW,,,,,4
GER,8475,Göran Berggren,Gregor Thorrait,SCLW,,,,,5
GER,8413,Martin Eckel,Paula Eiclary-Wüst,HSC,,,,,6
GER,6534,Heinz Wietzorrek,Andreas Jakob,SCLW,,,,,7
GER,8518,Klaus Eifler,Nils Burghard,SCLW,,,,,8
SUI,8003,Christian Mösli,Alex Wyss,,,,,,9
GER,8386,Jochen Heydolph,Susanne Winkelhofer,SCW,,,,,10
GER,7908,Uwe Hoffmann,Harald Mettler,,,,,,11
GER,7768,Christina Friedrich,Thorsten Koch,DHH,,,,,12
GER,8598,Klaus Riedl,Walter Giesing,MBSC,,,,,13
GER,7854,Martin Thalmayer,Christina Berggren,SCLW,,,,,14
GER,7891,Ulli Stegbauer,Robert Plecher,HSC,,,,,15
