Land,Segel-Nr.,Steuermann/-frau ,Vorschoter/-in ,Club/Land ,Race 1,Race 2,Race 3,Punkte,Pl. 
GER,8539,Olaf Oberländer,Dirk Kaiser,ROYC,,,,,1
GER,8590,Stefan Köchlin,Peter Hobusch,SKF,,,,,2
GER,8656,Roger Rachuba,Jens Wilke,SCSt,,,,,3
GER,8539,Oliver Ziems,Ute Ziems,RoYC,,,,,4
GER,8465,Jens Hufnagel,Markus Schöner,SCStM,,,,,5
GER,8575,Klaus Rieck,Sven Friedrich,BSV,,,,,6
GER,8674,Rainer Kremkow,Petra Beier,SCO,,,,,7
GER,8412,Antje Paulsen,Björn Schaar,BSV,,,,,8
GER,8599,Jens Knop,Ricarda Wolf,WSC,,,,,9
GER,8421,Christoff Blecken,Hannes Becker,BSV,,,,,10
GER,7548,Thilo König,Kristine Förster,,,,,,11
GER,8469,Christian Schulze,Bastian Wyschka,SCArg,,,,,12
GER,8507,Armin Eismann,Tino Käcks,SCA,,,,,13
GER,6786,Hendrik Reinhardt,Axel Schult,SVSF,,,,,14
