,SailNo,Helm,Crew,Club,R1,R2,R3,R4,R5,R6,R7,R8,R9,Total,Nett,Rank
RSA,8406,Graeme Willcox,Paul Willcox,VLC,1,2,1,1,1,1,1,1,1,10,8,1
RSA,8471,Dirk Rother,Eddie Forster,PSC,2,5,3,9,5,3,5,4,3,39,30,2
RSA,8707,Albrecht Holm,Warwick Ham,PSC,6,3,6,4,3,DNC,DNC,3,4,57,43,3
RSA,6707,Kyle Klaas,Robert Van Grunewald,PSC,DNC,DNC,8,11,4,6,4,2,2,65,51,4
RSA,7286,Thomas Funke,Peter Funke,TYC,5,1,2,2,DNC,DNC,2,DNC,DNC,68,54,5
RSA,8537,Steve Hegerstrom,Rob Samways,PYC,DNC,DNC,7,7,2,2,3,DNC,DNC,77,63,6
RSA,7608,Gregg Hurter,Ian West-Lewis,RNYC,3,DNC,5,5,6,5,DNC,DNC,DNC,80,66,7
RSA,8789,Tony Murray,Karl Kuhn,PSC,4,DNC,9,8,7,4,6,DNC,DNC,80,66,8
RSA,8584,Roy Dunster,Alan Haylett,VLC,7,4,4,3,DSQ,DSQ,DSQ,DSQ,DSQ,88,74,9
RSA,584*,Bronwen Klaas,Gordon Quarmby,PSC,DNC,DNC,10,10,8,7,8,DNC,DNC,99,85,10
RSA,8121,Kobus Holtzhausen,Danie Ungerer,PSC,DNC,DNC,DNC,6,DNC,DNC,7,DNC,DNC,111,97,11
RSA,8440,Andrew Arthur,Craig Parker,PSC,DNC,DNC,DNC,12,DNC,DNC,DNC,DNC,DNC,124,110,12
RSA,3879,Andre Barnard,Simone Labuchagne,PYC,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC,126,112,13
