C Boat No,Helm,Crew,Name,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,Race 9,Total,Nett,Position,
AUS 8804,Chris Nicholson,Darren Nicholson,Jigsaw,,11( 11),5( 5),1( 1),[ 99](DNF),[ 41]( 41),1( 1),1( 1),1( 1),2( 2),162,22,1
USA 8714,Howard Hamlin,Mike Martin,Black Boat,,5( 5),3( 3),8( 8),[ 99](DSQ),1( 1),2( 2),3( 3),[ 8]( 8),3( 3),132,25,2
SWE 8655,Krister Bergstrom,Thomas Moss,Mind Com,,4( 4),4( 4),[ 7]( 7),4( 4),4( 4),5( 5),[ 7]( 7),5( 5),4( 4),44,30,3
USA 8762,Danny Thompson,Andrew Zinn,Nice Wood,,2( 2),7( 7),4( 4),[ 22]( 22),2( 2),3( 3),[ 13]( 13),10( 10),8( 8),71,36,4
GBR 8743,Ian Barker,Daniel Cripps,Bodge It and Scarper,,7( 7),1( 1),2( 2),[ 99](DSQ),7( 7),[ 19]( 19),5( 5),9( 9),10( 10),159,41,5
USA 7771,Andy Beeckman,Ben Benjamin,Gummi de Milo,,8( 8),14( 14),3( 3),1( 1),[ 16]( 16),7( 7),[ 28]( 28),13( 13),7( 7),97,53,6
USA 8627,Tim Collins,Drew Buttner,The Pump,,10( 10),13( 13),19( 19),2( 2),[ 37]( 37),[ 30]( 30),9( 9),6( 6),1( 1),127,60,7
GBR 8773,Simon Payne,Bill Masterman,GUS First Blood Part 2,,[ 99](DSQ),2( 2),20( 20),3( 3),9( 9),6( 6),14( 14),12( 12),[ 99](DNF),264,66,8
AUS 8796,Malcolm Higgins,Andrew Chisholm,Fangin Hoons,,18( 18),9( 9),6( 6),13( 13),[ 20]( 20),8( 8),6( 6),15( 15),[ 29]( 29),124,75,9
GBR 8774,Ian Pinnell,Steve Hunt,Boys on Tour,,9( 9),11( 11),15( 15),10( 10),15( 15),[ 15]( 15),[ 17]( 17),4( 4),12( 12),108,76,10
AUS 8784,Hugh Stodart,Peter Holden,Express Post,,12( 12),8( 8),5( 5),[ 99](DSQ),10( 10),9( 9),[ 19]( 19),14( 14),18( 18),194,76,11
AUS 8809,Leslie Nathanson,Richard Machin,Scalpel,,14( 14),6( 6),11( 11),5( 5),11( 11),[ 26]( 26),[ 24]( 24),18( 18),19( 19),134,84,12
AUS 8795,Alexander Higgins,Paul Marsh,Sleek,,6( 6),10( 10),22( 22),16( 16),[ 40]( 40),14( 14),15( 15),2( 2),[ 25]( 25),150,85,13
GER 8775,Tom Swift,Holger Jess,,,20( 20),17( 17),18( 18),15( 15),3( 3),[ 34]( 34),[ 99](DSQ),11( 11),6( 6),223,90,14
USA 8554,Doug Hagan,Stuart Park,Panic,,[ 41]( 41),[ 50]( 50),21( 21),9( 9),17( 17),13( 13),10( 10),21( 21),9( 9),191,100,15
USA 8722,Macy Nelson,Jesse Falsone,Team CSC,,22( 22),16( 16),23( 23),[ 24]( 24),13( 13),12( 12),11( 11),[ 24]( 24),5( 5),150,102,16
GBR 8787,Terry Scutcher,Christian Diebitsch,GBR 8787,,3( 3),[ 29]( 29),28( 28),23( 23),14( 14),17( 17),12( 12),[ 28]( 28),11( 11),165,108,17
AUS 8280,Michael Quirk,Geoff Lange,Voyager,,15( 15),[ 37]( 37),30( 30),11( 11),23( 23),25( 25),2( 2),3( 3),[ 99](DSQ),245,109,18
AUS 8782,Andrew Hewson,Frank Karlovecz,Ronstan,,27( 27),24( 24),[ 38]( 38),26( 26),18( 18),4( 4),4( 4),19( 19),[ 36]( 36),196,122,19
AUS 8813,Brett van Munster,Andrew Petch,Van Munster Boat Building,,16( 16),22( 22),16( 16),8( 8),19( 19),[ 27]( 27),21( 21),[ 31]( 31),22( 22),182,124,20
DEN 8807,Tom Bojland,Philip Christiani,Powerware,,31( 31),[ 36]( 36),12( 12),19( 19),[ 57]( 57),29( 29),18( 18),7( 7),23( 23),232,139,21
GER 8744,Hans Heinrich Rix,Martin Schoeler,,,17( 17),15( 15),10( 10),20( 20),[ 34]( 34),21( 21),[ 32]( 32),27( 27),31( 31),207,141,22
AUS 8801,Peter Chappell,Ian Davidson,The Fish,,19( 19),[ 38]( 38),13( 13),12( 12),33( 33),31( 31),[ 34]( 34),22( 22),13( 13),215,143,23
AUS 8696,Carter Jackson,Will McDonald,Loose Unit,,21( 21),20( 20),24( 24),21( 21),12( 12),20( 20),26( 26),[ 44]( 44),[ 99](DNC),287,144,24
AUS 8667,Scott Olsen,Sean Gregory,Swing Shift,,30( 30),26( 26),[ 35](RDG),27( 27),24( 24),[ 54]( 54),8( 8),23( 23),15( 15),242,153,25
AUS 8395,Luke Molloy,Lucas Prescott,TIMAAYY!,,13( 13),27( 27),32( 32),6( 6),32( 32),16( 16),[ 76]( 76),[ 34]( 34),33( 33),269,159,26
AUS 8523,Peter Hewson,Morgan Bax,Forever Aboard,,26( 26),12( 12),9( 9),14( 14),[ 59]( 59),[ 56]( 56),47( 47),32( 32),20( 20),275,160,27
