Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Boat Name,Points Total,Points Netto,Place
GER,8747,Martin Kittsteiner,Oliver Stieglitz,HSC,2,1,[5],1,1,,10,5,1
GER,9161,Walter Steding,Hans-Werner Steding,HSC,1,2,1,[3],3,,10,7,2
GER,9144,Anna Lienau,Ulf Denecke,HSC,[7],3,3,5,4,,22,15,3
GER,8903,Steve Kwee,Paul Kwee,HSC,[8],6,6,2,2,,24,16,4
GER,9066,Peter Gerdts,Christian Labenz,SVWU,4,5,2,[6],6,,23,17,5
GER,8686,Markus Hintz,John Christiansen,HSC,5,7,[8],4,5,,29,21,6
GER,9113,Wolf-Dieter Jahn,Stefan Worm,HSC,3,4,4,[11 DNC],11 DNC,,33,22,7
GER,8433,Patrick Ziegelmüller,Katja Henge,HSC,[9],8,7,7,7,,38,29,8
GER,8389,Hilke Bölts,Denis Rumohr,HSC,10,9,9,8,[11 DNC],,47,36,9
GER,9260,Tim Böger,Wiebke Brauer,HSC,6,[11 DNC],11 DNC,11 DNC,11 DNC,,50,39,10
