Sail,Number,Team,Club,R1,T,N,Nr,
GER,9197,Nicola Birkner,Angela Stenger,VSAW,1,1,1,1
GER,9066,Peter Gerdts,Christian Labenz,SVWU,2,2,2,2
GER,9189,Hendrik Schultz,Ute Oberländer,SCLW,3,3,3,3
AUS,9225,Murray Gilbert,Lindsay Gilbert,Royal Akarana Sailing Club,4,4,4,4
GER,9198,Micki Daisenberger,Johannes Tellen,DTYC,5,5,5,5
GER,9040,Harald König,Katja Frühwald-König,SRVL-S,6,6,6,6
GER,8518,Achim Funk,Michael Probst,SCLW,7,7,7,7
GER,8579,Peter Wackerbauer,Dubravka Lung,RSB,8,8,8,8
GER,8691,Felix Bernhardt,André Müller,SRVL-S,9,9,9,9
GER,9100,Nathalie Zeiler,Claudius Zeiler,SCLW,10,10,10,10
GER,8990,Ralf Breitenfeldt,Alexander Wilhelm,SCLW,11,11,11,11
GER,8607,Jannis Bachmann,Stephan Bachmann,ESV Ringsee,12,12,12,12
