Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Boat Name,Points Total,Points Netto,Place
GER,9000,Andreas Porth,Thorsten Pösch,SCSZ,1,2,3,3,[7],,16,9,1
GER,8903,Steve Kwee,Hanno Weimer,HSC,2,4,[11],5,1,,23,12,2
GER,9268,Henrik Schade,Sebastian Wiemer,WVW,5,3,4,2,[6],,20,14,3
GER,9256,Jens Biederer,Thomas Wasilewski,KYC,3,[11],9,1,2,,26,15,4
BEL,8613,Kim Van Assche,Tessa Liebens,LZF,8,1,2,7,[10],,28,18,5
GER,9130,Kai Bertallot,Kai-Steffen Hofmann,FSC,4,[6],6,4,5,,25,19,6
GER,9182,Alexander Swade,,DYC,[15],5,10,6,3,,39,24,7
GER,9066,Peter Gerdts,Christian Labenz,SVWU,7,[10],1,10,9,,37,27,8
GER,912*,Inga-Marie Hofmann,Christoph Swade,DYC,10,9,8,[11],4,,42,31,9
GER,8370,Arend Brugmans,Felix Graff,ZSK,9,7,[13],8,12,,49,36,10
BEL,9163,Pierre Gorremans,Inka Näkkäläjärvi,NLM,11,12,5,9,[14],,51,37,11
GER,9040,Harald König,Katja Frühwald-König,SRVL-S,6,13,[14],12,13,,58,44,12
GER,9102,Andre Tirre,Frank Wille,ZSK,[19 DNF],8,15,13,8,,63,44,13
GER,8932,Christian Henge,Katja Henge,WEISE,12,[15],7,15,11,,60,45,14
GER,8282,Marc Morisse,Jonas Harnacke,ASVIA,13,14,12,14,[15],,68,53,15
GER,9070,Daniel Ferber,Torge Sdrojek,SCZ,14,[19 DNF],17,19 DNF,16,,85,66,16
GER,9086,Hansjörg Ehlers,Thomas Afken,ZSK,16,16,16,[19 DNF],19 DNF,,86,67,17
GER,8505,Mario Tirre,Henning Stoffers,ZSK,17,17,[19 DNF],19 DNC,19 DNC,,91,72,18
