,Boot,Steuermann,Vorschoter,Club,Platzierungen,,,,,,,,,,Platz
GER,8843,Franziska Unkelbach,Lars Dehne,KYC,1,1,1,3,2,2,2,3,OCS,,1
FRA,8969,Xavier Broise,Jean-Pierre Noclain,,7,10,6,1,1,3,1,1,1,,2
FRA,8870,Christian Silvestre,Aline Martin,CVB,3,2,2,6,3,1,3,2,3,,3
BEL,8552,E De Froidment,Claude Collette,,4,5,3,2,6,4,5,10,8,,4
BEL,8880,Koen Jourquin,Geert De Pauw,VVWN,5,3,4,11,5,7,4,6,4,,5
GER,8327,Dirk Frank,Stefan Kempf,SCS,2,4,9,4,4,6,7,7,5,,6
GER,8279,Michael Becker,Florian Hassdenteufel,SCNS,6,8,7,5,7,5,8,4,6,,7
BEL,7979,Luc Crets,Cedric Crets,,8,7,5,8,9,9,9,9,9,,8
BEL,8564,Didier Trine,Philippe Van Dersteen,KYC,10,6,8,DNF,DNC,DNF,6,8,2,,9
NED,8802,Frangois Hardy,Vincent Hardy,HZC,9,11,10,10,8,10,10,12,DNC,,10
FRA,8748,Samuel Carvallo,Sebastien Rauly,CNHS,DNC,13,12,9,11,11,11,11,10,,11
BEL,8742,Frederik Decocq,Gilles Bernon,SNEH,DNC,DNC,DNC,DNC,DNC,8,12,5,7,,12
BEL,7940,Paul Joskin,Gilbert Joskin,,DNC,9,11,7,10,DNC,DNC,DNC,DNC,,13
BEL,8688,Bernard Blondy,Roger Chabaud,CVA,12,12,13,12,DNC,DNC,DNC,DNC,DNC,,14
BEL,8275,Michael Teheux,Nicolas Schiepers,CNV,11,DNC,DNC,DNC,DNC,12,DNC,DNC,DNC,,15
BEL,8108,Didier Awouters,G Gennart,,DNC,DNC,14,DNF,DNC,DNC,13,13,DNC,,16
