Nation,Sail No.,Skipper Name,Helm,YC,R1,R2,R3,R4,R5,R6,R7,R8,R9,Boat Name,Total,Score,Place
USA,8823,Mats Elf,,CYC,2,1,1,(6.0),4,3,1,2,1,Good Times:-),21,15,1st
USA,8829,Miles Johannessen,,BBCBC,1,(9.0),4,2,1,4,2,1,2,Dingus,26,17,2nd
USA,6991,Courtney Starks,,PTSA,(5.0),5,3,4,2,2,4,3,3,Zaya,31,26,3rd
USA,8616,Lee Laney,,BYC,3,2,5,3,3,1,8.0 DNS,(10.0 DNC),6.0 DNC,Miami Vice,41,31,4th
USA,8631,Elsa,,CYC,4,6,2,1,6,5,5,(7.0),6.0 DNC,FBincognito,42,35,5th
USA,8831,Paul Vongrey,,PVGYC,6,7,6,(8.0),7,8,3,4,6.0 DNC,red,55,47,6th
USA,8017,Michael Poulos,,BYC,8,3,(9.0),7,8,7,8.0 DNS,6,4,Fighting Lady,60,51,7th
USA,8439,Anne Fitzpatrick,,CYC,7,4,7,9,5,9,8.0 DNC,(10.0 DNC),6.0 DNC,Yes Dear!,65,55,8th
USA,8617,Lena,,BYC,(9.0),8,8,5,9,6,6,8,6.0 DNC,Huntsman,65,56,9th
USA,7610,Craig McMinn,,CYC,10,10,10,10,(11.0 DNC),11.0 DNC,8.0 DNC,5,6.0 DNC,Bugbear,81,70,10th
