Pos,Sail,Skipper,,,Race 1,Race 2,Race 3,Race 4,Total Points,Pos
USA,9173,Tyler Moore,,,2,1,1,1,5.00,1
USA,9095,Russell Miller,,,1,3,2,3,9.00,2
USA,9003,Jesse Falsone,,,3,2,4,2,11.00,3
USA,8194,Clayton James,,,4,4,3,4,15.00,4
USA,7197,David Neal,,,9/DNC,9/DNC,9/DNC,9/DNC,36.00T,5T
USA,8841,Alexander Meller,,,9/DNC,9/DNC,9/DNC,9/DNC,36.00T,5T
USA,8919,Bryan Richardson,,,9/DNC,9/DNC,9/DNC,9/DNC,36.00T,5T
CAN,18715*,Marek Balinski,,,9/DNC,9/DNC,9/DNC,9/DNC,36.00T,5T
