Pos,Sail,Skipper,Crew,Club,RACE 1,RACE 2,RACE 3,RACE 4,RACE 5,Total Points,Pos
USA,9003,Jesse Falsone,Chris Behm,SSA,3,2,2,1,1,9.00,1
USA,8919,Bryan Richardson,Ashley Love,SSA,2,3,4,3,4,16.00,2
USA,9095,Nelson Macy,Russell Miller,WRSC,1,1,1,9/DNC,9/DNC,21.00,3
USA,9002,Michael Parramore,Barny Harris,SSA,4,4,3,9/DNC,9/DNC,29.00,4
USA,7200,Alexander Meller,Mike Coe,SSA,9/DNS,9/DNC,9/DNC,2,3,32.00,5
USA,715*,Brendon Connell,,SSA,9/DNS,9/DNS,9/DNS,4,2,33.00,6
USA,8244,Paul Andron,,SSA,9/DNS,9/DNS,9/DNS,5,5,37.00,7
USA,,Gretchen Esbensn,,SSA,9/DNS,9/DNS,9/DNS,9/DNC,9/DNC,45.00,8
