Nation,Boat no,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,Points,Place
USA,9072,Mike Holt,Carl Smit,Santa Cruz Yacht Club,-13,1,2,1,2,1,12,1,20,1
USA,9153,Howie Hamlin,Jeff Nelson,NHYC / ABYC,6,4,3,3,4,-15,2,3,25,2
GER,9152,Dr Wolfgang Hunger,Julien Kleiner,PYC,2,2,-13,4,3,3,8,5,27,3
GER,9090,Christian Kellner,Martin Schoeler,HSC,7,9,1,2,-17,8,9,4,40,4
CAN,8970,Bob Tennant,Steve Bourdow,RVicYC,1,5,-30,6,7,2,13,6,40,5
GER,9146,Julian Stueckl,Johannes Tellen,DTYC,3,-23,7,5,9,9,1,10,44,6
GER,9185,Stefan Boehm,Gerald Roos,SCV,4,8,-24,8,12,4,6,2,44,7
GER,9121,Jan-Philipp Hofmann,Brockerhoff Felix,DY e.V.,5,3,11,13,1,-19,4,12,49,8
FRA,9175,Philippe Boite,Erwan Grossmann,CVSQ,-16,12,8,10,8,7,3,8,56,9
GER,9070,Stefan Koechlin,Andreas Achterberg,SVS,(46 DSQ),7,6,12,14,5,5,9,58,10
GER,8929,Kai Bertallot,Jan Reifferscheidt,Flensburger Segel-Club,18,6,5,-24,6,6,14,7,62,11
GER,9169,Tim Boeger,Markus Schoener,HSC,19,10,10,7,11,16,-20,18,91,12
GBR,9190,Ian Pinnell,Dave Shelton,Hayling Island SC,14,-26,26,9,5,18,15,11,98,13
GER,9133,Frieder Achterberg,Wolfgang Stueckl,DTYC,10,11,19,14,19,11,-23,14,98,14
GER,9182,Alexander Holzapfel,Finn Boeger,Post-Sportverein Koblenz,22,16,16,11,15,12,10,-27,102,15
GER,9127,Ulf Plessmann,Hans-Heinrich Rix,AYC Jork,-21,14,15,19,16,14,11,13,102,16
FRA,9076,Xavier Broise,Nicolas Des Jamonieres,Snph,8,22,14,-32,10,21,7,21,103,17
AUS,9134,Michael Quirk,Daryl Roos,RPEYC/CYC,9,15,9,16,-25,13,19,25,106,18
GBR,9088,Andy Smith,Roger Gilbert,NCSC,15,19,4,23,-26,22,17,20,120,19
GBR,9178,Chris Lewns,Jarrod Simpson,QUEENBOROUGH,12,24,18,22,22,17,-25,15,130,20
SUI,9147,Caroline Jacot,René Betschen,CVN,23,18,(46 DNS),17,21,10,24,23,136,21
AUS,9028,Earle Alexander,Leon Oehme,Darling Point SS,11,25,25,28,18,27,-31,17,151,22
GBR,8963,Martin Hodgson,Adrian Miles,Stone Sailing Club,(46 DNS),30,12,27,32,23,16,19,159,23
GBR,9179,Tudor Owen,Tom Bruton,Whitstable yacht club,25,13,17,20,(46 DNS),46 DNS,22,16,159,24
SUI,9096,Cédric Bart,Philippe Jagt,CNB,17,28,27,21,13,28,26,-29,160,25
GER,9171,Stefan Giesler,Frank Boehm,VSaW,20,21,35,15,24,25,21,(46 DNS),161,26
GER,9040,Nørbert Dasenbrook,Sven Meier,KSW / SKBUe,27,20,22,25,23,26,-35,24,167,27
USA,9041,Henry Amthor,Dustin Romey,Hampton YC,26,17,23,18,31,(46 DNS),28,28,171,28
GER,9100,Hendrik Schultz,Thorsten Koch,SCLW,(46 DNS),46 DNS,21,26,20,20,18,22,173,29
FRA,8954,Muriel Agrapart,Jeanne Agrapart,Club Nautique de la Haute Sein,33,32,20,-34,34,24,32,26,201,30
FRA,9099,Alain Karadjian,Gilles Chapelin,CVSQ,24,31,-36,29,30,32,33,31,210,31
GER,9043,Nicola Birkner,Angela Stenger,VSAW,28,-33,31,31,29,31,29,32,211,32
SUI,9060,Catherine Houriet,Gil Donze,Yacht club de Genève,29,29,32,-40,37,34,27,34,222,33
AUS,8968,Matthew Hansen,Chris White,Royal freshwater bay yacht clu,34,-37,33,33,28,30,34,30,222,34
FRA,9075,Loic Bleuez,Franz Agrapart,CNHS,(46 DNS),34,28,38,27,37,30,35,229,35
GER,9114,Mats Westholm,Johan Calvert,SCLW Walchensee/GKSS,30,27,29,35,(46 DNS),46 DNS,36,33,236,36
GER,8672,Dirk Huetten,Guido von Walter,Segel Gemeinschaft Riegsee,(46 DNS),36,34,37,DNS,36,38,38,265,37
GER,8934,Frank Beier,Hubertus Ritter,SCLM,31,35,(46 DNS),42,36,DNS,40,37,267,38
GER,9139,Dirk Penno,Ralph Valkenberg,DTYC,32,(46 DNS),37,36,35,35,46 DNS,46 DNS,267,39
SUI,8961,Toni Utiger,Markus Heilig,CVE,(46 DNS),46 DNS,46 DNS,30,33,29,46 DNS,46 DNS,276,40
GER,8990,Ralf Breitenfeldt,Thore Von Puttkamer,HSC,(46 DNS),46 DNS,46 DNS,41,DNS,33,39,36,287,41
GBR,8867,Patrick McGale,Chris Pearson,QMSC,(46 DNS),46 DNS,46 DNS,39,DNS,46 DNS,41,39,303,42
GBR,9157,Chris White,Roger le Pla,Northampton sailing Club,(46 DNS),46 DNS,46 DNS,46 DNS,46 DNS,46 DNS,37,40,307,43
GER,8998,Ingo Schneider,Sebastian Hoering,SCLW,(46 DNS),46 DNS,46 DNS,46 DNS,46 DNS,46 DNS,46 DNF,41,317,44
USA,9168,Bruce Edwards,Eric Anderson,Santa Cruz Yacht Club,(46 DNS),46 DNS,46 DNS,46 DNS,46 DNS,46 DNS,46 DNS,46 DNS,322,45
