Sail Number,Team,,Club,R1,R2,R3,R4,R5,T,N,Nr
FIN 8927,Kaj Lindfors,Johan Halonen,ASS,(1),1,1,1,1,5,4,1
FIN 8632,Tuomas Laurila,Timo Vennonen,EMK,(2),2,2,2,2,10,8,2
FIN 8678,Tatu Miettinen,Ville Tarvo,LPS,(7) DNC,3,3,3,4,20,13,3
FIN 8466,Hannu Pöyry,Ari Dillemuth,VVK,(7) DNF,5,5,5,3,25,18,4
FIN 8053,Petri Ebeling,Juhani Heimsch,HSK,(7) DNC,6,4,4,6,27,20,5
FIN 7784,Thomas Held,,BSS,(7) DNC,4,6,6,5,28,21,6
