Nation,Boat No,Helm,Crew,Club ,Race 1,Race 2,Race 3,Race 4,Total,Nett,Rank
FIN,9069,Rosemarie Hartman,Tuomas Laurila,Merenkävijät,1,1,1,(9.0 DNS),12,3,1
FIN,8768,Thomas Baltscheffsky,Antti Salonen,ESF,4,2,4,(9.0 DNS),19,10,2
FIN,8678,Tatu Miettinen,Ville Tarvo,LPS,3,4,3,(9.0 DNS),19,10,3
FIN,8466,Hannu Pöyry,Matti Dillemuth,VVK,5,3,6,(9.0 DNS),23,14,4
FIN,8352,Kari Lehtonen,Timo Vennonen,HSK,6,5,7,(9.0 DNS),27,18,5
FIN,8053,Petri Ebeling,Juhani Heimsch,HSK,(9.0 DNF),9.0 DNS,2,9.0 DNS,29,20,6
FIN,8927,Kaj Lindfors,Johan Halonen,ASS,2,(9.0 DNF),9.0 DNS,9.0 DNS,29,20,7
FIN,7784,Thomas Held,Juha Nurmela,BSS,(9.0 DNF),6,5,9.0 DNS,29,20,8
