Country,Boat Number,Helm,Crew,Club,Race 1,Points Netto,Place
DEN,8108,Jørgen Holm,Finn Jensen,AY,,"30,7",1
DEN,8030,Bo Petersen,Søren Storm,AY,,"36,7",2
DEN,8031,Lars Christensen,Jan Feddersen,XXX,,46,3
GER,7622,Holger,Hammer,XXX,,63,4
GER,8032,Jörn Erdmann,Sven Harder,SYTS,,73,5
SUI,8101,Urs Scherrer,Seitz,YCZ,,77,6
GER,8109,Bernd Kowalzig,Claus Tiedemann,XXX,,87,7
GER,8002,Harald Busch,Peter Micke,XXX,,87,8
SUI,7395,Pierre-Andre Bonjour,J C Burdet,CNV,,"89,7",9
FRA,7931,Hervé Wattine,Louis-Michel Ces,YCPR,,94,10
GER,7597,Carl-Peter Forster,Anselm Bracht,BYC,,96,11
SUI,8079,Philippe Grünig,Kappeler,BI,,"99,7",12
SUI,7964,Heiner Kyburz,Herbert Hermann,3,YCZ,,101,13
FRA,7847,Francis Doerenbecher,Gérard Guthman,XXX,,101,14
SUI,8105,Oldani,Fischlin,Y08,,"102,7",15
FRA,7940,Guy De Restrepo,Alain Beltzung,CYUS,,104,16
SUI,8100,Josef Zuppiger,Daniel Brun,XXX,,110,17
GER,7860,Christof Becker,Tim Böger,HSC,,111,18
FRA,7933,Philippe Boite,Jean-Luc Muzellec,CVM,,"111,7",19
GER,8106,Torsten Roeder,Pinko,RTGW,,114,20
SUI,8003,Werner Müller,Wiskemann,YCZ,,"115,7",21
FRA,8008,Jean Marc Paquotte,Serge Ehrhart,"ACAS,",,118,22
DEN,8026,Bojsen,Poul,HSSKA,,121,23
GER,,Schlomka,Schlomka,TSVS,,130,24
SUI,7417,Ravonel,Barraud,CNV,,131,25
DEN,81,Jensen,Olsen,AY,,133,26
SUI,7994,Stephan Räbsamen,Meret Boog,SSCM,,134,27
GER,7127,Kinzer,Geisler,SCO,,145,28
GER,8114,Gerd Engel,A.Strowitzki,YSC,,154,29
GER,7963,Wolfgang Wilde,Oliver Wirz,WM,,159,30
SUI,781,Marti,Babler,YCZ,,162,31
GER,7971,Stefan Schollmayer,Eckel,SCM,,162,32
GER,7747,Gernot Meyer,Joachim Bobbert,EKSG,,163,33
GER,7354,Harald Wolff,Michael Latz,YCSA,,174,34
GER,8118,Waskoenig,Schmitz,ETU,,177,35
SUI,7960,Markus Bohren,Beat Waser,YCZ,,178,36
GER,7953,Gunter Froese,Carl Riebe,ESTM,,"178,7",37
GER,7589,Adalbert Kluck,Gerhard Schmidt,XXX,,181,38
GER,7683,Heiner Lienke,Klaus Stammerjohann,WSCW,,183,39
GER,8100,Dieter Cordes,Marcus Cordes,XXX,,185,40
GER,7817,Heinz Balters,Dirk Dehncke,XXX,,191,41
GER,7764,Peter Daferner,Verner Gaertner,SGR,,193,42
GER,8128,Hartwig Friederichs,Jens Weishaupt,XXX,,198,43
FRA,8111,Gilbert Vinches,Delpaux,YCC,,201,44
FRA,7734,Francis Macheboeuf,Eric Alard,YC,,210,45
SUI,7330,Junot,Dufour,CNV,,214,46
SUI,7419,Renker,Renker,RCA,,215,47
SUI,8113,Best Wernli,Moor,SCM,,217,48
GER,7732,Dirk Kuhnhenn,Rosteak,YCE,,223,49
SUI,7754,Godet,Hediger,GCYA,,224,50
