Nation,Boat,Helmsman,Crew,,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Total,No.
GBR,8050,Peter Colclough,Harold Barnes,,2,1,2,1,2,15,8,1
GBR,8023,Russell Peters,Bill Masterman,,5,13,8,2,3,7,25,2
GBR,8025,Clive Robinson,John Ironmonger,,7,4,5,6,9,6,28,3
GBR,8071,Dave White,Nigel Squirrel,,6,1,8,11,R,12,39,4
GBR,7852,Chris Haworth,Nigel Appleton,,1,6,18,16,15,5,43,5
GBR,8049,Neil Willmott,Paul Willmott,,11,41,3,28,1,1,43.50,6
GBR,8051,Dave Peacock,Colin Smith,,17,D,6,13,4,4,44,7
GBR,8001,Martin Spence,Jonathan Ward,,10,7,N,12,13,3,45,8
GBR,7735,Mark Upton-Brown,Martin Gotrel,,3,3,21,9,25,11,47,9
GBR,7743,Neil Thornton,Jonathan Clark,,4,12,17,22,11,9,53,10
GBR,7744,Tim Fells,Mike Kyte,,20,15,15,15,7,2,54,11
GBR,8028,Richard Lord,Mark Longstaff,,9,5,26,7,12,R,59,12
GBR,8055,Vernon Ralston,Peter Siddall,,27,31,4,17,6,8,62,13
GBR,7880,John McLaren,Jack Edwards,,8,26,10,26,8,10,62,14
GBR,7939,Robert Trickett,Dick Howl,,18,20,9,10,10,31,67,15
GBR,8024,Nigel Summers,Nigel Burt,,16,30,12,36,14,13,85,16
GBR,7565,Gary Langdown,Geoff Bettle,,15,28,13,20,22,19,89,17
GBR,7881,Neil Thomas,Damion Chisholm,,13,23,7,29,17,R,89,18
GBR,8052,Neil Martin,Richard Hanson,,29,18,R,14,19,14,94,19
GBR,7916,Allan Muir,Alan Jeffery,,12,21,R,21,24,20,98,20
GBR,7920,Paul Oakey,Paul Whitworth,,37,17,19,4,33,28,101,21
GBR,7912,Steve Arkley,Dick Vivers,,21,27,16,18,28,22,104,22
GBR,7925,Dave Sherwin,Peter Sherwin,,28,9,39,5,40,23,104,23
GBR,7919,Nigel Buckley,Tim Hancock,,D,10,1,3,5,R,106,24
FRA,8000,Marcel Buffet,Marc Bourdon,,14,14,36,31,18,R,113,25
GBR,8007,Chris Timmins,Kaffir Munro,,30,29,22,25,23,18,117,26
GBR,7714,John Button,David Gibbons,,19,8,38,R,38,25,128,27
IRL,7900,Julian Cooke,Andrew Morris,,39,35,23,23,27,26,134,28
GBR,8048,David Allen,Colin Merrett,,36,24,25,19,34,R,138,29
GBR,8072,Tim Bird,Richard Allinson,,24,15,24,34,R,42,140,30
GBR,7265,Phil Brown,Debbie Brown,,26,32,29,52,32,32,151,31
GBR,7594,Alan Henderson,Alistair Barrie,,32,19,35,43,39,46,168,32
GBR,7750,Duke Darge,R. Dunlop,,40,38,R,49,30,16,173,33
GBR,7799,Peter Fisher,Mike Robertson,,25,50,33,R,41,27,176,34
GBR,7567,Jim McGillivary,Ken Wilson,,41,53,27,59,21,34,176,35
GBR,8006,Richard Newnham,Tim Symons,,22,11,R,27,R,29,177,36
USA,8027,Michael Holt,Simon Rawlings,,35,25,14,R,20,R,182,37
GBR,7788,Timothy O'Leary,Nigel Bultitude,,51,47,47,30,29,30,183,38
GBR,7805,Stephen Carson,Steve Smith,,54,59,11,54,16,R,194,39
GBR,7447,Simon Pestell,Martin Harvey,,33,49,40,46,42,35,196,40
GBR,7664,Richard Bailey,Alan Lockhart,,45,33,28,58,36,R,200,41
GBR,7625,Jack Anderson,John Driscoll,,68,39,46,60,37,21,203,42
GBR,7884,Thomas Carr,Gordon Jewell,,47,40,37,47,46,37,207,43
GBR,6513,Martin Hodgson,Donald Sloan,,42,34,R,35,50,48,209,44
GBR,7553,Mike Brooks,Tim Brooks,,61,51,30,39,35,D,216,45
GBR,7497,Fergus Duncanson,D. Moss,,43,37,48,42,47,R,217,46
GBR,7929,Paul Towers,Graham Robinson,,31,43,44,51,62,49,218,47
GBR,6801,Andy Maskell,Andy Sutton,,49,45,54,37,53,38,222,48
GBR,7894,Jim Hair,Dick Middleton,,38,R,51,38,54,45,226,49
GBR,7621,Graham Child,Gordon Kingston,,52,R,R,41,31,17,229,50
GBR,8009,Peter Fordham,Nick Thompson,,34,22,R,32,55,R,231,51
GBR,7969,Bill Barker,Steve Peters,,44,D,34,24,45,R,235,52
