Sail,Number,Team,,Club,R1,R2,R3,R4,R5,R6,R7,R8,T,N,Nr
BEL,8949,Cédric Crets,Lionel Lambert,RCNV,1,2,2,3,1,[5],[4],4,22,13,1
BEL,8898,Bas Van Assche,Casper Martens,LZF,4,1,[8],2,6,1,[8],1,31,15,2
FRA,8870,Christian Silvestre,Aline Martin,Yacht Club de l'Ile de France,[9],4,[5],1,5,2,5,2,33,19,3
FRA,9031,Philippe Lucienne,Vivien Lucienne,SRC Sud Oise,2,[8],3,6,3,[13]DNF,3,3,41,20,4
BEL,8613,Kim Van Assche,Steven Ferson,LZF,[7],6,7,[9],2,3,1,5,40,24,5
BEL,9121,Paul Gorremans,Marie-Pierre Gorremans,NLM,3,3,1,4,[7],6,7,[12],43,24,6
BEL,9163,Pierre Gorremans,Jean-Emmanuel Gorremans,NLM,6,[9],4,[7],4,4,2,6,42,26,7
FRA,9045,Nicolas Guillou,Nicolas Radier,HAVRE,5,7,6,[8],[9],7,6,7,55,38,8
GER,9040,Harald König,Katja Frühwald-König,SRVL-S,8,5,[9],5,8,8,[10],9,62,43,9
BEL,8400,Théo Geeraerts,Antoine Poncin,SNEH,[12],10,10,11,10,11,[12],8,84,60,10
BEL,8844,Frank Boonen,Ronald Vanthoor,NLM,[11],[11],11,10,11,9,9,11,83,61,11
BEL,9064,Philippe Vandersteen,Roman Xyz,SNEH,10,[13]DNF,[13]DNS,13DNS,12,10,11,10,92,66,12
