Sail Number,,ISAF Sailor Code,First Name,Surname,Nationality,
 BEL 8700,,,,Collette,BEL,
 BEL 8949,,,,Crets,BEL,
 BER 9176,,,,Wright,BER,
 DEN 8828,,,Michael,Wonterghem,DEN,
 DEN 9118,,DENJS1,Jan ,Saugmann,DEN,
 DEN 9118,,DENJS1,Jan,Saugmann,DEN,
 DEN 9121,,DENJB10,Jørgen,Bojsen-Moller,DEN,
 DEN 9128,,DENNH5,Nikolaj,Hoffmann Buhl,DEN,
,, FRAFC13,Francois,Caminade,FRA,Y C Grenoble Chara
 ITA 8944 ,,,-,Manzi,ITA,
 POL 8909,,,,Domaski,POL,
 POL 9132,,,Przemek,Zagorski,POL,
 POL 9170,,,,Milewski,POL,
,,0028181F,Jean Claude ,Ancelot,FRA,CVP
,,0028181F,Jean Claude ,Ancelot,FRA,S N O NANTES
,,0033073B,Laurent ,Nevo,FRA,
,,0033073B,Laurent,Nevo,FRA,S R ROCHELAISES
,,0535928J,Basile,Geron,FRA,
,,0535928J,Basile,Geron,FRA,S N P H
,,0598510Y,Thibault,Di Pede,FRA,C V SEINE-PORT
,,0730716N,Pierre Jean,Gallo,FRA,
,,0730716N,Pierre Jean,Gallo,FRA,S R HAVRE
,,0730716N,Pierre-Jean,Gallo,BEL,
,,1075040J,Michel ,Farina,FRA,U N P CAP BRETON
,,1116663R,Dominique Louis ,Sotty,FRA,C N BAIE ST VAAST
,,1192338U,Pierre ,Gendry,FRA,
,,1192338U,Pierre,Gendry,FRA,S N O NANTES
,,1197285X,Nicolas ,Des Jamonieres,FRA,
,,1197285X,Nicolas ,Des Jamonières,FRA,
,,1197285X,Nicolas,Des Jamonieres,FRA,C N PENESTIN
,,1204608A,Stanislas ,Rault,FRA,C.V.M.L
,,1226045F,Anais ,Dechauffour,FRA,S N O NANTES
,,1234778C,Leo ,Le Delaizir,FRA,C N CASTELNAUDARY
,,1238169K,Thibaut ,Morel,FRA,C V JULLOUVILLE
,,1275616S,Sebastien ,Rauly,FRA,C N HAUTE SEINE
,1944,0028181F,Jean Claude ,Ancelot,FRA,
,1945,,Nigal,Grogin,GBR,
,1947 M,,Claude,Gachet,FRA,
,1952 M,,Lindsay,Gilbert,AUS,
,1953 M,SWEOW3,Olle ,Wenrup,SWE,
,1953,,Horst,Sjuts,GER,SVSS
,1953,SWEOW3,Olle,Wenrup,SWE,
,1954 M,,Sven,Flood,SWE,
,1954,,Enno,Wilts,GER,
,1955,,Finn,Angelo,DEN,
,1955,,John,Christiansen,GER,SLRV
,1955,,Per-Eric,Thörnström,SWE,
,1956,,Anne,Nehrenberg,GER,
,1956,DENJM10,Jacob,Bojsen-Møller,DEN,HS
,1956,,John,Mclean,ITA,
,1957 M,,Gil,Donze,SUI,
,1957 M,,Kevin,Whitbread,AUS,
,1957 M,,Robert,Waterman,USA,
,1957,,Gil,Donzé,SUI,
,1957,,Kevin,Whitbread,AUS,
,1957,,Michael,Schöfer,GER,WSVL
,1957,,Thomas,Fox,GER,ESC
,1958 M,,Jonathan,Ward,GBR,
,1959 M,,Bruno,Laudage,GER,
,1959 M,,Michael,Priddle,GBR,
,1959,,Bruno,Laudage,GER,HSC
,1959,,Stefan,Brückner,GER,ZSK
,1960 M,,Michael,Wonterghem,DEN,
,1960,FRASD29,Sabine,Dechauffour,FRA,
,1960,,Laurence,Mead,HKG,
,1960,,Michael,Wonterghem,DEN,
,1961 M,,Matti,Dillemuth,FIN,
,1961 M,,Ulf,Denecke,GER,
,1961,,Adrian,Miles,GBR,
,1961,,Birgit,Hartmann,GER,
,1961,,Hans-Werner,Steding,GER,HSC
,1961,,Hartwig,Friedrichs,GER,
,1961,,Laurent,Michel,FRA,
,1961,,Markus,Heilig,SUI,
,1961,,Matti,Dillemuth,FIN,
,1961,,Ulf,Denecke,GER,HSC
,1962 M,,Georg,Mittermayer,GER,
,1962 M,,Ian,Gregg,AUS,
,1962 M,,Johan,Strömdahl,SWE,
,1962 M,,Tomas,Jaxing,SWE,
,1962,,Frisco,Sanguino-Petersen,GER,
,1962,,John,Warlow,AUS,
,1963 M,,David,Christie,AUS,
,1963 M,GBRCD51,Christian,Diebitsch,GBR,
,1963 M,,John,Mclean(Crazy),AUS,
,1963 M,,Martin,Lietz,GER,
,1963 M,,Philippe,Jacot,SUI,
,1963 M,,Philip,Scapens,AUS,
,1963 M,,Ryszard,Pfeiffer,POL,
,1963,FRAFT8,Fabrice,Toupet,FRA,
,1963,,Frank,Böhm,GER,ENSFR
,1963,GBRCD51,Christian,Diebitsch,GBR,
,1963,GERHJ1,Holger,Jess,GER,KYC
,1963,,Martin,Lietz,GER,FSV03E.V.
,1963,,Oliver,Stieglitz,GER,HSC
,1963,SUIPJ4,Philippe,Jacot,SUI,
,1964 M,,Lars,Wester,SWE,
,1964 M,,Tore,Reinhold,SWE,
,1964 M,,Warwick,Ham,RSA,
,1964,1197285X,Nicolas ,Des Jamonieres,FRA,
,1964,,Daniel,Rodhe,SWE,
,1964,,Frank W,Ille,GER,ZSK
,1964,,René,Betschen,SUI,
,1964,,Robert,Bath,AUS,
,1964,,Tore,Reinhold,SWE,
,1964,,Warwick,Ham,RSA,Pretoria Sailing Club
,1965 F,,Jana,Hastenpflug,SWE,
,1965 M,GERHJ1,Holger,Jess,GER,
,1965,,Andreas,Dillmann,GER,HSC
,1965,,David,Christie,AUS,
,1965,,Dirk,Penno,GER,KYC
,1965,,Jana,Hastenpflug,SWE,SSAV
,1965,,Lars Henrik,Andersen,DEN,
,1965,,Oliver,Schürmann,GER,WYCA
,1965,,Stephan,Graff,GER,ZSK
,1966 F,GERAS62,Angela,Stenger,GER,
,1966 M,,Hans-Heinrich,Rix,GER,
,1966 M,,Karsten,Stümpel,GER,
,1966 M,,Władysław,Kondej,POL,
,1966,,Frank,Heimburger,GER,SSCM
,1966,GERAS62,Angela,Stenger,GER,MYC
,1966,,Hans-Heinrich,Rix,GER,TSVS
,1966,,Henrik,Buhl,DEN,
,1966,,Jarrod,Simpson,GBR,
,1966,,Karsten,Stümpel,GER,HSC
,1966,,Mario,Tirre,GER,ZSK
,1966,,Nicolas,Picquerey,FRA,
,1966,,Thomas,Afken,GER,SCZ
,1966,USAPA5,Peter,Alarie,USA,KYC
,1967 M,,Andrzej,Borowiak,POL,
,1967 M,,Bob,Franks,AUS,
,1967 M,,Gerald,Roos,GER,
,1967 M,,Jacob,Ernst,DEN,
,1967 M,,Juha,Nurmela,FIN,
,1967 M,,Martin,Bergmann,GER,
,1967 M,,Patric,Wollmersson,SWE,
,1967 M,,Paul,Marsh,AUS,
,1967 M,,Raik,Wollenbecker,GER,
,1967,,Antje,Gosch,GER,WSCW
,1967,,Bob,Franks,AUS,
,1967,GERGR5,Gerald,Roos,GER,RCR
,1967,GERJS44,Wolfgang,Stückl,GER,DTYC
,1967,,Juha,Nurmela,FIN,
,1967,,Keith,Borders,GBR,
,1967,,Markus,Hintz,GER,
,1967,,Martin,Bergmann,GER,HSC
,1967,,Thorsten,Spötter,GER,HSC
,1967,,Ute,Oberländer,GER,SCLW
,1968 M,,Markus,Schöner,GER,
,1968,,Andreas,Schlüter,GER,SLSV
,1968,GERAP14,Axel,Priegann,GER,SVNO
,1968,,Mads,Christiansen,DEN,
,1968,,Markus,Schöner,GER,HSC
,1968,,Sven Me,Ier,GER,SKBUE
,1968,,Tilman,Giesen,GER,YCRM
,1968,USADS1,David,Shelton,GBR,
,1969 M,,Claudius,Zeiler,GER,
,1969 M,,David,Snoad,AUS,
,1969 M,,Timo,Vennonen,FIN,
,1969,,Andreas,Achterberg,GER,BYC
,1970 M,,Johan,Röök,SWE,
,1970,,Ferdinand,Holm,RSA,
,1970,,Parry,Barclay,USA,
,1971,,Tomas,Gustavsson,SWE,
,1971,,Volkmar,Leitzke,GER,
,1972 M,,Oliver,Stieglitz,GER,
,1972 M,,Sascha,Spors,GER,
,1972,,Arne,Lanatowitz,RSA,CKA
,1972,,Heiko,Thölmann,GER,
,1972,,Jens,Kühne,GER,OSG
,1972,,Matthew,Bowden,AUS,
,1972,,Peter,Wolffram,GER,YCF
,1972,,Thorsten,Koch,GER,SCLW
,1972,,Toralf,Feuchtenhofer,GER,HSC
,1973 M,,Andrzej,Zdrojek,POL,
,1973,FRAMG40,Matthieu,Gougeon,FRA,
,1973,GERMS30,Martin,Schöler,GER,
,1973,,Jakob,Karbo,DEN,
,1973,,Robert,Bussenius,GER,
,1973,USAAZ7,Andrew,Zinn,USA,NHYC
,1973,,Volker,Weiß,GER,SVWU
,1974 F,,Katharina,Menge,GER,
,1974 M,,James,Spikesly,RSA,
,1974 M,,Marcin,Pietrzak,POL,
,1974 M,,Thomas,Wasilewski,GER,
,1974,,Andreas,Schmidt,GER,
,1974,,Dirk,Barteldt,GER,SCVP
,1974,GERLD2,Lars,Dehne,GER,ZSK
,1975 F,,Karolina,Gąsiorowska,POL,
,1975 M,,Johan,Calvert,SWE,
,1975 M,,Nathan,Quirk,NZL,
,1975,,Johan,Calvert,SWE,
,1975,,Malte,Eilenstein,GER,SGAM
,1975,,Volker,Böhringer,GER,DSD
,1976 M,,Adam,Kominek,POL,
,1976 M,,Andrew,Buttner,USA,
,1976 M,FRAMG40,Matthieu,Gougeon,FRA,
,1976 M,USAAZ7,Andrew,Zinn,USA,
,1976,,Andrew,Buttner,USA,
,1977 M,,Antti,Salonen,FIN,
,1977 M,,Michał,Olko,POL,
,1977 M,USARW132,Robert ,Woelfel,USA,
,1977 M,,Ville,Tarvo,FIN,
,1977,,Antti,Salonen,FIN,HYP
,1977,,Juha,Pietilä,FIN,
,1977,,Katja,Henge,GER,
,1977,,Stefan,Worm,GER,SCR
,1977,USARW132,Rob,Woelfel,USA,
,1978 M,,Piotr,Duma,POL,
,1978 M,,Wojciech,Kasprzyk,POL,
,1978,,Bartosz,Milewski,POL,
,1978,,Erwan,Grossmann,FRA,
,1978,,Lauri,Kääpä,FIN,
,1979 M,,Tuomas,Laurila,FIN,
,1979,,Matt,Hart,GBR,
,1979,,Tuomas,Laurila,FIN,
,1980 M,,Adam,Najmowicz,POL,
,1980 M,,Alex,Davies,GBR,
,1980 M,,Hannes,Kindermann,GER,
,1980 M,,Johan,Halonen,FIN,
,1980 M,,Konrad,Plewa,POL,
,1980 M,,Maciej,Goździk,POL,
,1980 M,,Roman,Główka,POL,
,1980 M,,Thor,Schoenhoff,AUS,
,1980,,Johan,Halonen,FIN,ASS
,1980,,Michael,Baumann,GER,
,1981 M,,Felix,Hummel,GER,
,1981 M,GERJT16,Johannes,Tellen,GER,
,1981 M,,Michał,Wdówka,POL,
,1981,,Anders,Ekberg,SWE,
,1981,GBRSA17,Scott,Allen,GBR,
,1981,GERJK3,Julien,Kleiner,GER,KYC
,1981,GERJT16,Johannes,Tellen,GER,RSC' 77
,1981,,Thomas,Funke,RSA,
,1981,,Wiebke,Gewinn,GER,MSC
,1982,,Florian,Brix,GER,OSG
,1983 M,,Paweł,Prus,POL,
,1983,,Anna Dorothea,Schipler,GER,SFHS
,1983,AUSBP11,Bryce,Penfold,AUS,
,1983,,Michael,Mayrhofer,AUT,
,1983,,Przemyslaw,Rzepecki,POL,
,1983,,Res,Schürch,SUI,
,1984 M,,Lee,Marriott,GBR,
,1984,GERLO3,Leon,Oehme,GER,KYC
,1985 M,,Christian,Sonntag,GER,
,1985 M,,Michael,Heyder,GER,
,1985 M,,Paul,Davis,GBR,
,1985 M,,Sam,Pascoe,GBR,
,1985,GEROL4,Oliver,Lewin,GER,KYC
,1985,,Matthew,Barry,USA,
,1985,,Michael,Heyder,GER,SCF 1891
,1985,,Richard,Hutton-Squire,RSA,
,1985,,Vivien,Lucienne,FRA,
,1986 M,,Ian,Mcgillivray,AUS,
,1986 M,,Marcin,Józefowski,POL,
,1986 M,,Moritz,Lüther,GER,
,1986,,Ian,Mcgillivray,GBR,
,1987 M,,Bartosz,Milewski,POL,
,1987,,David,De Monteils ,FRA,
,1987,,Tobi,Bolduan,GER,DTYC
,1988 M,,Tim,Needham,GBR,
,1988 M,,Toni,Hastenpflug,SWE,
,1988,AUSLP4,Luke,Payne,AUS,
,1988,,Basti,Henning,GER,MYC
,1988,,Richard,Nurse,GBR,
,1988,,Tim,Needham,GBR,
,1988,,Timo,Bökle,GER,
,1988,,Toni,Hastenpflug,SWE,
,1988,USAMM150,Mike,Martin,USA,
,1989 M,,Bartosz,Chroł,POL,
,1989 M,,,Fountaine,FRA,
,1989 M,,Jakub,Folczak,POL,
,1989,0535928J,Basile,Gèron,FRA,
,1989,,Bartosz,Chrol,POL,
,1989,,Frederik ,Tasche,GER,WSVG 09
,1989,,Johannes,Buitenhuis,GER,
,1990 M,,Jack,Kilburn,GBR,
,1990 M,,Sebastian,Wiemer,GER,
,1990,,Adam,Kenney,GBR,
,1990,,Jan,Reifferscheidt,GER,KYC
,1990,,Wilhelm,Johannisson,SWE,
,1991 M,,Kacper,Kaczmarek,POL,
,1991 M,,Paweł,Choroba,POL,
,1992 M,,Harry,Briddon,GBR,
,1992 M,,Jan,Walczak,POL,
,1992 M,,Patrykpł,Otka,POL,
,1992,,Aron,Tellen,GER,BSV
,1992,,Thorben,Köster,GER,
,1993 M,1192338U,Pierre ,Gendry,FRA,
,1993 M,,Arne,Wittemer,GER,
,1993 M,,Felix Björn,Brockerhoff,GER,
,1993 M,,Maciej,Kondlewski,CAN,
,1993 M,,Marvin,Schlesiger,GER,
,1993 M,,Pierre,De Kergariou,FRA,
,1993 M,,Thomas,Bruton,GBR,
,1993,1192338U,Pierre ,Gendry,FRA,
,1993,GERFB12,Felix,Brockerhoff,GER,DUYC
,1993,,Jörn Al,Berts,GER,HSC
,1993,,Kilian,Northoff,GER,BYC
,1994,,Axel,Hultgren,SWE,
,1994,,Morgane,Nicolas,FRA,
,1995 M,,Artur,Piernicki,POL,
,1995 M,,Michał,Prończuk,POL,
,1995,,Juliane,Kohl,GER,WWSC 70
,1996 M,,Finn,Böger,GER,
,1996 M,,Morten,Roos,GER,
,1996 M,,Szymon,Swosiński,POL,
,1996,GERMR41,Morten,Roos,GER,SVWU
,1997 F,,Maren,Roos,GER,
,1997 M,,Guillaume,De Kergariou,FRA,
,1997 M,,Mateusz,Wolszczak,POL,
,1999 M,,Marcus,Pies,GER,
,1999 M,,Oskar,Lundberg,SWE,
,2000 M,,Bartosz,Kowalczyk,POL,
