Sail Number,Team,,Club,R1,R2,R3,R4,T,N,Nr
GER 9071,Dr Wolfgang Hunger,Julien Kleiner,PYC,1,1,1,1,4,4,1
GER 9146,Jens Findel,Johannes Tellen,KYC,2,3,2,4,11,11,2
GER 8929,Kai Bertallot,Nils-Henning Hofmann,FSC,3,2,5,5,15,15,3
GER 9149,Paul Filli Meyer,Rolf Meyer,SCED,4,7,3,2,16,16,4
GER 8972,Timon Treichel,Morten Roos,DYC,5,4,6,7,22,22,5
GER 9066,Peter Gerdts,Christian Labenz,SVWU,7,6,7,8,28,28,6
GER 8915,Davina Schlesiger,Marvin Schlesiger,MSC,10,5,10,9,34,34,7
GER 8806,Lutz Stengel,Frank Feller,ROYC,9,20 DNF,4,3,36,36,8
GER 9144,Jürgen Anton,Ulf Denecke,HSC,6,20 DNF,8,6,40,40,9
GER 8903,Steve Kwee,Thorsten Spötter,HSC,11,10,15,10,46,46,10
DEN 8440,Mikkel Christiansen,Mads Christiansen,AS,8,8,11,20 DNS,47,47,11
GER 9057,Frieder Billerbeck,Lukas Brüning,SVWS,12,20 DNF,9,20 DNS,61,61,12
GER 8619,Matthias Dachs,Jörn Alberts,HSC,14,9,20 DNF,20 DNS,63,63,13
GER 8932,Christian Henge,Katja Henge,WSCW,13,20 DNF,16,20 DNF,69,69,14
GER 9000,Martin Bernauer,Enno Wilts,OSG,20 DNF,20 DNS,12,20 DNF,72,72,15
GER 8964,Iris Anton,Bruno Laudage,HSC,20 DNF,20 DNS,13,20 DNF,73,73,16
GER 9046,Christina Burger,Hartwig Friederichs,ZSK,20 DNF,20 DNS,14,20 DNF,74,74,17
GER 9021,Jens Biederer,Hendrik Annighöfer,HSC,20 DNF,20 DNS,17,20 DNF,77,77,18
GER 8654,Dirk Lübbers,Friederike Lemp,SLRV,20 DNF,20 DNS,20 DNF,20 DNS,80,80,19
