Sail Number,Team,,Club,R1,R2,R3,R4,R5,R6,R7,T,N,Nr
GER 9152,Meike Schomäker,Holger Jess,ZSK,(2),1,1,1,1,1,1,8,6,1
GER 9112,Morten Bogacki,Lars Dehne,DYC,3,3,2,3,2,3,(22) BFD,38,16,2
GER 9122,Benedikt Northoff,Kilian Northoff,BYC,1,2,(22) DNC,5,5,4,2,41,19,3
DEN 9118,Jan Saugmann,Jakob Karbo,,4,5,4,2,3,(6),4,28,22,4
GER 9029,Hannes Wagner,Max Boehme,KYC,(22) OCS,4,5,4,9,2,11,57,35,5
GER 9149,Paul Meyer,Rolf Meyer,SCED,5,6,9,7,4,(22) BFD,8,61,39,6
GER 9055,Julian Ramm,Oliver Lewin,KYC,6,(11),6,8,7,5,9,52,41,7
GER 8720,Lennart Tasche,Frederik Tasche,WSVG 09,13,9,3,6,(16),9,3,59,43,8
GER 8929,Jan Lürkens,Jan Reifferscheidt,SCE,(22) OCS,8,11,9,6,8,6,70,48,9
GER 8972,Timon Treichel,Morten Roos,DYC,8,7,8,11,8,7,(22) BFD,71,49,10
GER 8519,Thure Gnadeberg,Aron Tellen,BSV,11,10,7,10,12,(22) BFD,12,84,62,11
GER 8874,Henning Steffen,Tilman Giesen,SLRV,9,(16),10,16,11,11,7,80,64,12
GER 8915,Davina Schlesiger,Marvin Schlesiger,MSC,7,12,12,13,10,14,(16),84,68,13
GER 8750,Peter Kruse,Arne Wittemer,SC HATTINGEN,(22) DNC,13,14,12,13,12,5,91,69,14
GER 9035,Ronald Roos,,SVWU,12,14,13,(17),15,10,13,94,77,15
GER 9057,Johannes Ganzer,,SVH,10,15,16,15,(17),17,10,100,83,16
GER 9077,Carsten Hehl,Dr Christian Bühring-Uhle,NRV,14,17,15,(22) DNC,22 DNC,15,14,119,97,17
GER 8463,Antje Schneidewind,Viktoria Warminski,SGAM,(22) DNC,22 DNC,22 DNC,14,14,13,15,122,100,18
GER 8988,Georg Mittermayer,Dirk Barteldt,SCLL,(22) DNC,18,17,18,18,16,17,126,104,19
DEN 9121,Jørgen Bojsen-Møller,,Hellerup,(22) DNC,22 DNC,22 DNC,22 DNC,22 DNC,22 DNC,22 DNC,154,132,20
GER 9070,Stefan Köchlin,Andreas Achterberg,SVS,(22) DNC,22 DNC,22 DNC,22 DNC,22 DNC,22 DNC,22 DNC,154,132,20
