Boot,,Steuermann,Vorschoter,Club,Platzierungen 1,Platzierungen 2,Platzierungen 3,Platzierungen 4,Platzierungen 5,Platzierungen 6,Punkte,Pl.
GER,9112,Morten Bogacki,Jens Steinborn,DYC,3,1,1,1,1,1,,1
GER,9110,Tim Böger,Finn Böger,HSC,1,2,2,2,2,4,,2
GER,8975,Alexander Holzapfel,Stefan Worm,PSVK,2,3,3,3,3,2,,3
GER,8049,Johannes Markert,Jörn Pietsch,BSV,7,8,6,4,4,3,,4
GER,9021,Jens Biederer,Hendrik Annighöfer,HSC,8,5,5,5,5,6,,5
GER,8915,Davina Schlesiger,Marvin Schlesiger,MSC,10,4,4,8,8,9,,6
GER,9141,Konrad Otto,Martin Lietz,SGS,4,10,7,10,6,7,,7
GER,8947,Ralf Schneidewind,Oliver Schürmann,KSC,6,9,11,6,9,5,,8
GER,9054,Anika Kébreau,Raik Wollenbecker,YCBG,5,6,9,DNF,10,12,,9
GER,8991,Jürgen Waldheim,Robert Bussenius,PYC,13,7,12,7,11,10,,10
GER,8531,Anna Hauschild,Katharina Menge,SCS,9,13,10,9,13,8,,11
GER,8463,Antje Schneidewind,Viktoria Warminski,SGAM,12,12,8,DNF,7,11,,12
GER,8619,Matthias Dachs,Jörn Alberts,HSC,11,11,DNC,11,12,13,,13
GER,8664,Jeremias Paulke,Markus Paulke,BG017,DNC,14,DNC,DNC,DNC,DNC,,14
