Nation,Sail,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Total,Place
USA,8841,Paul VonGrey,Kerry Poe,,2,4,2,4,8*,1,13,1
USA,8576,Bobby Noyes,Mike Punnett,,5,3,8*,1,1,4,14,2
USA,8823,Mats Elf,Brent Campbell,CYC Seattle,3,1,1,9*,4,5,14,3
USA,8829,Miles Johannessen,Cody Kawalski,CYC-B,1,2,5,6*,5,6,19,4
CAN,8866,Cynthia Des Brisay,Charles Hansen,Kitsilano YC,6,5,4,7,14*,3,25,5
USA,7156,Erik Coburn,Jack The Ripper Thompson,Mazama Yacht Club,7,8,3,2,9*,7,27,6
USA,8616,Lee Laney,Mike Powell,BYC,10,11*,6,8,2,2,28,7
CAN,8755,Brian Trainor,Evan Jennings,Kitsilano YC,9,13*,7,5,10,8,39,8
CAN,8192,Phil Cragg,Segah Cragg,Royal Van YC,19*,7,11,3,6,13,40,9
USA,8631,Courtney Starks,Tom Crawford,,14,9,9,13,3,22*DNC,48,10
USA,8868,Piper Dunlap,Lucas Hurt,,11,10,10,14*,11,9,51,11
USA,9116,Katherine Long,Josh Dyck,,8,12,13,17,7,22*DNC,57,12
USA,8017,Mike Poulos,Jon Seestrom,BYC,15,18*,14,10,13,10,62,13
USA,7206,Anne Fitzpatrick,Chris Pittack,CYC Seattle,12,14*,12,12,12,14,62,14
USA,8960,Bruce Van Deventer,Bob Rinker,CYC Seattle,22*DNS,6,16,16,18,11,67,15
USA,7610,Christher Hubbard, Grimm,CYC Seattle,17*,15,15,11,15,15,71,16
CAN,8263,Peter Grimm,Fred Grimm,Kitsilano YC,13,16,17,18,19*,12,76,17
USA,8617,Paul Pihl,Paul Pihl,BYC,20,17,18,15,16,22*DNC,86,18
USA,8438,Ashley Nelson,Andrew Nelson,,16,20,22*DNS,19,17,16,88,19
USA,8799,Angus Brackett,David Brink,,4,22*DNF,22 DNS,22 DNS,22 DNC,22 DNC,92,20
USA,7039,Bob Conrad,Josh Leiberman,CYC Seattle,18,19,19,20*,20,17,93,21
