Sall No,Boat,Skipper,Crew,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,Race 9,Total,Netto,Place
8588,Project,Adrian Finglass,Simon Gorman,0,0,0,0,10,3,0,3,48,64,8,1
8524,Maroon Magic,Leslie Nathanson,Ian Gregg,5.7,3,3,3,0,8,3,8,13,48.7,25.7,2
8559,Gatecrasher,Sandy Higgins,David Clayton,3,5.7,5.7,5.7,8,0,10,0,11.7,49.8,28.1,3
8817,Swallow My Wake,Brett Whitbread,Joel McDonald,11.7,18,10,11.7,32,28,5.7,10,5.7,128.8,70.8,4
8358,Plgmles In Long Grass,Peter Chappell,Ben Durham,13,8,18,18,19,5.7,11.7,15,3,109.4,72.4,5
8289,Busta Moov,Justin Mitchell,Ken Mitchell,8,18,8,8,20,17,8,39,22,148,87,8
8848,Stiff Ship,Brett Van Munster,Robert Woodman,13,21,20,18,17,10,22,11.7,0,132.5,89.5,7
8272,Gases,Michael Thomson,Paul Marsh,10,10,15,10,24,29,15,21.5,14,148.5,95.5,8
8844,Go to Red,David Porter,Pater Holden,14,17,13,14,3,18,21,21.5,20,139.5,97,9
8280,No Strings Attached,Michael Quirk,Patrick Quinlan,16,15,11.7,13,13,14,19,48,16,185.7,98.7,10
8803,CMPS&F,Ian Dunn,Ian Taylor,18,11.7,22,17,16,15,16,27,8,150.7,101.7,11
8176,Rampage,Sean Gregory,Paul Finch,17,27,14,28,25,22,13,5.7,10,161.7,106.7,12
8523,Forever Aboard,Peter Hewson,Morgan Box,20,13,19,25,11.7,13,28,20,18,187.7,114.7,13
8271,Maximum Warp,Brad Martin,Peter Cooksey,26,19,17,27,15,25,14,14,17,174,121,14
7980,Ory Red,Wayne Soulsby,Mark Nykiel,23,23,21,19,21,20,25,18,15,183,135,15
6182,Sots,Mark Stowell,Darryl Bentley,24,14,24,20,14,28,20,23,23,190,138,16
8804,Oestresslng Purchase,Ian Burford,Dave Christie,15,31,25,24,41,23,23,17,21,220,148,17
8407,Breaklng the Shackles,Steven Findlay,Michael Bickham,22,24,32,34,31,18,17,13,23,214,148,18
8396,Go-lchl-Go,Richard Needham,Guy Robertson,48,22,23,21,22,11.7,29,30.5,28,233.2,154.7,19
7986,Illusion,Murray Smith,Mika Hughes,21,29,27,15,23,24,28,18,48,233,156,20
8219,Traoing Places,Alan Bessel,David Lane,31,20,28,32,5.7,21,48,26,25,236.7,156.7,21
7830,Falcon,Cullen Hughes,Dave Robertson,34,30,29,45,27,19,29,19,35,287,187,22
8398,Filthy Florrie,Bill Edwards,Uwe Kruger,19,25,28,26,44,34,34,35,27,270,191,23
8888,Fllghl of the Cosmic,Matthew Hansen,Mike Navarro,28,33,30,29.5,30,33,32,25,24,264.5,198.5,24
8185,Earle Grey,Earle Alexander,Ken Lockenby,25,32,38,22,29,43,48,33,28,298,205,25
8887,Swing Sl)lft,Scott Olsen,Anthony Gaunt,48,28,18,23,18,27,48,48,48,302,208,26
8221,Grey Ghost,Tony Bale,Peter Baile,32,35,41,29.5,28,30,38,34,39,304.5,224.5,27
8399,Aeolian Again,John Bagshaw,Richard Gorrell,32,37,35,39,26,36,3,28,33,302,226,28
7984,Dash,Ross Brennan,Richard David,27,55,31,31,43,45,31,32,31,328,228,29
7534,Alwight,Jay Brown,David Delaine,45,39,38,33,35,40,30,24,30,314,229,30
8453,Moonshadow,John Whitbread,Ian Murdoch,29,28,48,48,33,39,18,42,41,328,230,31
8177,Chariots of Fire,Stuart Campbell,Ian Pinder,30,34,40,38,37,32,29,38,32,308,230,32
8038,Bat out of Hell,Elizabeth Roberts,Mike Duffield,38,38,34,35,39,37,37,29,29,314,237,33
8589,The Groove,Mark Barbar,Sandra Jones,33,40,33,37,40,31,40,30.5,34,318.5,238.5,34
8578,Buddah,Geoff Holden,Matthew Holden,37,36,37,38,38,42,35,37,40,338,256,35
7741,A Matter of Energy,Tony Smith,Graham Payn,40,41,39,41,38,38,38,48,36,359,270,38
8175,Tangaroa,Ross Balley,Ray Stitt,48,54,42,42,34,41,39,38,38,374,272,37
8274,Mlnus 5,John Hands,Ron WIison,39,42,43,40,42,46,42,40,47,381,288,38
7231,Big Time,Peter Volkmer,John Clifford,38,47,44,43,45,35,41,43,45,381,289,39
7487,Wild Thing,Robyn Johnston,Shane Atwell,48,48,48,48,48,48,48,41,42,417,321,40
5591,Magic Bus,Eric Van Leeuwen,,48,48,48,48,48,48,48,48,48,432,338,41
