Nation,Boat NO,Helm,Crew,,Race 1,Race 2,Race 3,Race 4,Points,Position
AUS,8618,Dean Blatchford,Jayson Field,,2,1,1,2,6,1st
AUS,8644,David Porter,Peter Holden,,1,5,2,4,12,2nd
AUS,8289,Justin Mitchell,Ken Mitchell,,3,2,3,8,16,3rd
AUS,8523,Peter Hewson,Morgan Bax,,6,4,5,5,20,4th
AUS,8406,Greg Searant,Simon Burt,,8,9,4,1,22,5th
AUS,8648,Brett Van Munster,John Messenger,,7,7,6,3,23,6th
AUS,8280,Michael Quirk,Geoff Lange,,4,6,7,7,24,7th
AUS,8498,Peter Drinkwater,David O'Dowd,,9,3,10,6,28,8th
AUS,8341,Graham Prosser,Mark Lewis,,5,12,8,9,34,9th
AUS,8398,Bill Edwards,Uwe Kruger,,13,10,11,13,47,10th
AUS,8606,Scott Ouo,Gary Handman,,10,14,12,12,48,11th
AUS,8223,John Roberts,Mike O'Donnell,,15,8,13,17,53,12th
AUS,8*,Bob Fussell,Jeramy,,12,11,17,14,54,13th
AUS,8578,Geoff Holden,Matthew Holden,,11,13,16,18,58,14th
AUS,8399,John Bagshaw,Richard Gorrell,,14,15,15,15,59,15th
AUS,7830,Cullen Hughes,Michael Bickham,,21 DNS,21 DNS,9,10,61,16th
AUS,8629,Ian Dunn,Patrick Quinland,,21 DNS,21 DNS,14,11,67,17th
AUS,8186,Andrew Thompson,Mike Neilson,,20 OCS,18,19,16,73,18th
AUS,8289/7251,Chris Quick,Phil Hinks,,17,19 DNF,18,19,73,18th
AUS,7042,Geoff Robinson,Sarah Ray,,16,16,21,23 DNS,76,20th
AUS,7977,Graham Payn,Michelle Tomkins,,19 DNF,17,20,23 DNS,79,21st
AUS,7484,John Perry,Greg Dodd,,19 DNF,19 DNF,22,20,80,22nd
