#,helm,crew,club,r1,r2,r3,r4,r5,sum,place
POL 8812,Sławomir Plichta,Paweł Prus,YKP Stal Gdynia / YKP Warszawa,1,2,1,1,3*,5,1
POL 9020,Tomasz Brzozowski,Paweł Choroba,KZ Horn Kraków,2,1,3*,2,2,7,2
POL 8802,Dominik Ostrowski,Agnieszka Marach,MKS Dwójka Warszawa,8*,8,8,3,1,20,3
POL 8909,Jan Domański,Robert Korybut-Daszkiewicz,KPMG Sailing Team,6,5,4,5,7*,20,4
POL 8212,Michał Tracz,Paweł Różycki,KŻ Ostróda / Centrum Żeglarskie Szczecin,5,7*,5,7,4,21,5
POL 8483,Mariusz Michalski,Piotr Duma,YK Stal Gdynia,3,6,7,6,9*,22,6
POL 8493,Mieczysław Szwed,Konrad Plewa,Centrum Żeglarskie Szczecin,4,4,6,10*,8,22,7
POL 8416,Bogna Płachecka,Bartosz Chroł,MKS Dwójka Warszawa,14 DNS*,9,9,4,5,27,8
POL 8736,Adam Kuczyński,Adam Najmowicz,ZKZ Zbąszyń / YK Stal Gdynia,14 DNS*,3,5,14 DNC,12,31,9
POL 8028,Anna Zabłocka,Wojciech Kasprzyk,Centrum Żeglarskie Szczecin,9,14 DNF*,11,8,6,34,10
POL 8451,Dariusz Rzadkowski,Krzysztof Rzadkowski,Wołsztyński Klub Żeglarski,7,11,10,9,11*,37,11
POL 8141,Jerzy Plewa,Tomasz Zubelewicz,,10,10,12*,11,10,41,12
POL 8359,Zbisław Lasek,Jakub Meduna,,14 DNS*,14 DNS,13,12,14 DNF,53,13
