SailNo,Helm,Crew,Club,R1,R2,R3,Total,Overall
POL 9170,Karol Milewski,Bartosz Milewski,YK Stal Gdynia,2,1,1,4,1
POL 8812,Sławomir Plichta,Paweł Prus,YK Stal Gdynia,3,5,3,11,2
POL 9119,Mateusz Jura,Bartosz Chroł,AZS SGH Warszawa,1,2,9,12,3
POL 8736,Adam Kuczyński,Andrzej Borowiak,Najazdy Samochodowe,4,7,5,16,4
POL 9132,Przemek Zagórski,Michał Olko,YK Stal Gdynia,6,3,10,19,5
POL 8483,Mariusz Michalski,Piotr Duma,YK Stal Gdynia,10,4,7,21,6
POL 7237,Mariusz Świstelnicki,Kamil Świstelnicki,Centrum Zeglarskie Szczecin,8,6,8,22,7
POL 7942,Jan Sibilski,Michał Prończuk,ZLKS Poznan,9,11,4,24,8
POL 9020,Tomasz Brzozowski,Paweł Choroba,KZ Horn Krakow,14,10,2,26,9
POL 8875,Dariusz Konopczak,Leslaw Świstelnicki,Dobra Marina,7,8,11,26,10
POL 8493,Mieczysław Szwed,Konrad Plewa,Centrum Zeglarskie Szczecin,12,9,6,27,11
POL 8582,Jakub Kozanko,Michał Wdówka,,5,13,14,32,12
POL 8212,Michał Tracz,Andrzej Zdrojek,KZ Ostroda,11,16,13,40,13
POL 8145,Paweł Kluczyński,Władysław Kondej,AZS Poznan,13,14,15,42,14
POL 8416,Bogna Płachecka,Paweł Różycki,,21 DNS,12,12,45,15
POL 8751,Anna Zabłocka,Wojciech Kasprzyk,Centrum Zeglarskie Szczecin,15,15,21 DNC,51,16
POL 8141,Jerzy Plewa,Magdalena Baczyńska,,21 RET,21 DNC,21 DNS,63,17
POL 8359,Tomasz Polikowski,Adam Najmowicz,YK Stal Gdynia,21 DNF,21 DNF,21 RET,63,17
POL 8802,Dominik Ostrowski,Jakub Folczak,Dwojka Warszawa,21 DNF,21 DNC,21 DNC,63,17
POL 7851,Szymon Janiak,Grzegorz Janiak,Opti CWM ARKA Gdynia,21 DNF,21 DNF,21 RET,63,17
