Nat,Boat,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Tot.,Pts.,Pos
USA,7093,Ethan Bixby,Cameron Lewis,,14,2,1,1,3,11,"45,7","25,7",1
USA,6933,Stephen Benjamin,Tucker Edmundson,,3,16,2,2,2,7,"49,7","27,7",2
DEN,7143,Jørgen Schönherr,Anders Kæmpe,,1,1,3,19,20,10,"72,7","46,7",3
AUS,7331,Gary Bruniges,Hale,,13,5,9,4,4,9,75,56,4
GBR,7327,Peter Colclough,Harold Barnes,,6,10,16,11,6,1,"78,4","56,4",5
USA,7200,Larry Tuttle,Trevor Baylis,,24,4,20,3,7,4,"98,7","64,7",6
USA,7100,Neal Fowler,Duncan Skinner,,5,7,29,17,13,2,103,69,7
USA,7152,Jon Andron,Howard Hamlin,,19,3,4,22,32,3,"110,4","72,4",8
USA,7359,Dennis Surtees,Jay Kuncl,,2,21,6,12,11,18,"100,7","73,7",9
GBR,7004,Eddie Warden-Owen,Andy Gray,,12,15,8,13,5,12,100,79,10
AUS,7250,Richard Gallimore,Mark Jackson,,DNF,9,17,5,22,14,189,96,11
AUS,7018,Neil Harrison,Nick Paterson,,36,19,5,8,12,24,139,97,12
USA,7069,Jeff Brauch,Gary Beck,,8,13,13,DNF,10,13,190,97,13
SWE,7351,Karl-Erik Nilsson,Anders Avén,,27,17,7,10,17,21,135,102,14
USA,7068,Bruce Ayres,Don Ayres,,10,8,23,24,34,19,154,114,15
USA,6987,Vincent,Gilmore,,47,35,20,7,19,6,"169,7","116,7",16
GBR,7313,Michael Lawton,Merrett,,18,22,11,72A,16,35,225,132,17
GBR,7182,Paul Willmott,Neil Willmott,,43,12,15,21,18,39,184,135,18
USA,7151,Nicholas Grey,Barnes,,22,32,12,23,23,26,174,136,19
GBR,7277,David White,Richardson,,23,50,14,14,24,32,193,137,20
SWE,7145,Staffan Eklund,Anders Eklund,,51,6,DNF,6,9,38,"232,4","139,4",21
AUS,7231,David J. Bull,Russell,,26,24,34,16,26,20,162,142,22
,7206,Bruce Stocker,David Sharpe,,16,25,38,20,15,40,190,144,23
SWE,7296,Ebbe Rosén,Olle Wenrup,,4,28,27,DNF,47,13,240,147,24
USA,6934,Campbell,Berleme,,15,33,32,9,41,28,194,147,25
CAN,6910,Lewis,Lewis,,21,20,DNF,34,42,5,244,151,26
FRA,7356,Hervé Wattine,Patrick Solatges,,9,DNS,43,42,21,8,246,153,27
GBR,7170,Mike Hattemore,Mike Payne,,37,26,19,18,31,DNF,254,161,28
DEN,7162,Michael Staal,Erik Lund,,11,39A,35,28,30,29,216,163,29
JPN,7001,Kai,Noguchi,,62,48,31,44,1,25,240,172,30
AUS,7196,I. Dixon,Heneker,,20,30,41,40,29,30,226,179,31
USA,6824,Buckingham,,,32,49,39,37,35,16,244,189,32
USA,6936,Gary Bodie,,,28,27,42,25,43,52,253,195,33
GBR,7110,J. Patterson,Maddocks,,38,53,10,15,56,50,258,196,34
GBR,7268,Peter White,Bev Moss,,17,18,22,27,DNS,DNS,294,201,35
RSA,6641,Peter Cardwell,Roger Warner,,25,34,24,38,52,DNS,296,203,36
,7278,Hishin,Hawkins,,60,36,37,30,25,45,269,203,37
USA,6992,Jeff Miller,Thomas Poore,,61,11,DSQ,DNS,8,15,305,212,38
USA,7202,Ramming,,,56,38,44,32,28,41,275,213,39
USA,6932,Sally Lindsay,Stanley Honey,,7,14,DNF,54,DNF,22,307,214,40
AUS,4,Milligan,Adriaanse,,65A,31,26,DSQ,14,36,317,224,41
USA,7348,Maloney,,,30,43,47,41,55,33,285,224,42
USA,6931,Dave Cahn,Gump,,50,23,40,31,71,56,306,229,43
GBR,6878,Lloyd Fryer,Mike Cox,,74,56,18,43,39,49,315,235,44
,7168,Stevens,Vrdoliak,,35,60,21,70,36,57,315,239,45
USA,6808,Goodwin,Sharrett,,34,37,48,47,45,54,301,241,46
USA,6489,D. Bergh,,,77,46,51,45,37,34,326,243,47
IRL,7303,O'Sullivan,McCready,,73,41,33,33,58,51,325,246,48
GBR,7368,Graham Thomas,Ken Norris,,53,42,46,39,49,43,308,249,49
SUI,7223,Schiess,Schiess,,44,55,25,46,50,59,315,250,50
SWE,7160,Bo Ferm,Jan Ferm,,31,52,54,47,67,47,336,263,51
GER,6768,Adalbert Kluck,Gerhard Schmidt,,DNF,45,45,29,53,63,358,265,52
CAN,5605,Gesing,Gesing,,39,74,56,60,33,48,345,265,53
USA,6935,Baylis,Bialla,,40,40,67,50,51,60,344,271,54
USA,6991,Wondoleck,Helman,,45,29,DNF,36,48,DNS,368,275,55
CAN,7198,Witold Gesing,Argell,,48,67,50,62,40,46,349,276,56
SWE,7297,Per Oskarsson,Lars Edström,,57,58,71,59,54,27,362,285,57
GBR,7272,David Revill,,,64,DSQ,53,48,38,53,379,286,58
JPN,7000,Kimura,Kikuchi,,67,DNS,62,52,60,17,381,288,59
GBR,7300,Ben Tucker,Richard Bartholome,,DSQ,44,36,26,DNS,65,381,283,60
USA,7150,Danielson,Rattray,,33,47,52,DNF,46,DNS,388,295,61
CAN,7039,Keys,Gard,,41,DNF,66,DNS,44,31,392,299,62
GER,7219,Axel Lenderoth,Jo Ellerbeck,,54,69,61,57,61,44,382,307,63
CAN,7249,Shields,France,,59,64,58,35,73,67,392,313,64
FRA,6909,Jaffrezic,,,29,54,30,DNS,DNF,DNS,410,317,65
,7288,Lanham,Love,,42,66,75,67,75,37,398,317,66
SUI,6767,Werner Müller,Habecht,,63,51,49,64,63,72,398,320,67
GER,6605,Ewald Brzoska,Hanno Barth,,49,73,59,63,64,56,400,321,68
CAN,6615,Alexander „Ali” Meller,Sutcliffe,,52,59,69,58,62,61,397,322,69
KEN,7382,Deverell,Astheirner,,76,62,57,DNF,59,42,419,326,70
FRA,6585,Robert Fossard,Vincent Barthélemy,,55,72,77,53,57,64,414,331,71
GBR,7216,Joan Ingram,Jack Edwards,,66,63,60,56,65,58,404,332,72
GER,6415,Cordes,Hotzen,,46,65,64,69,68,DNF,435,342,73
,6642,Green,Melville,,75,61,56,61,70,70,429,349,74
GBR,6782,Robert Trickett,Greenwood,,70,75,68,DNS,27,DNF,450,357,75
SIN,7059,Stringer,Crossouard,,69,68,72,65,66,62,438,360,76
CAN,6740,Brown,,,58,71,63,DNF,72,68,456,362,77
RSA,7287,Robert Crisp,Halstead,,78,DNF,70,51,76,66,464,371,78
USA,6797,Egan,Betts,,DNS,70,66,55,77,DNS,477,384,79
CAN,6299,Moore,Barry,,72,DNF,76,66,74,73,484,391,80
USA,6660,Graham Alexander,Winters,,68,78,78,71,DNS,71,489,396,81
GBR,6536,Bernard,Jenkins,,79,76,73,68,78,74,484,399,82
GBR,6969,Ingram,,,81,77,74,DNF,69,69,493,400,83
BEL,7146,Stockbroeux,Stockbroeux,,71,57,DNF,DNF,DNF,DNS,512,419,84
GER,5958,Winter,Crux,,80,79,79,DNF,DNF,DNS,535,442,85
AUS,6763,Peter Hewson,Drinkwater,,DNS,DNS,DNS,DNS,DNF,DNS,558,465,86
