Ctry,Skipper,No.,Hull,Mast,Boom,Main/Jib,Spinnaker,Main sheet,CB,Rudder,Gybe?
GBR,Colclough,6589,Parker,Proctor D,Proctor,Musto,Musto,Hoop,Parker,Parker,no
DEN,Bojsen-Moller,6208,Kyrwood,Alpha Minus with carbon fibre,Proctor,Elvstrom,Elvstrom,Hoop,Home made,Home made,yes
AUS,Kyrwood,6213,Kyrwood,Speedspar,Proctor,Burke,Burke,Hoop,Kyrwood,Kyrwood,no
USA,Taylor,6292,Parker/Lindsay,Proctor D,Schaeffer,North,North,Centre strop,Lindsay,Lindsay,?
USA,Warfield,6540,Parker,Proctor D,Proctor,De Witt,De Witt,Hoop,Ron Owen,Ron Moore,yes
GBR,Owen,6673,Parker,Z Spar,Z Spar,Musto,Musto,Hoop,Milanes,Milanes/Parker,no
USA,Brauch,6291,Kyrwood,Proctor D,Proctor,Pattison,Pattison,Raised track,Bethwaite, ?,?
SWE,Eklund,6630,Parker,Proctor D,Proctor,Musto,Burke,Hoop,Parker,Parker, no
SWE,Eriksson,6143,Parker,Proctor D,Proctor,Musto/Gran Segel,Gran Segel,Hoop,Parker,Parker, no
USA,Andron,6136,Parker,Proctor D,Schaeffer,Van Zandt,Van Zandt,Transom,Lindsay,Lindsay, ?
