Sail Number,Team,,Club,R1,R2,R3,R4,R5,T,N,Nr
GER 9189,Hendrik Schultz,Ute Oberländer,SCLW,(1),1,1,1,1,5,4,1
GER 9066,Peter Gerdts,Christian Labenz,SVWU,2,2,(11) DNF,2,2,19,8,2
GER 8531,Wilhelm Wollenbecker,Hermann Wollenbecker,YCBTF,(7),3,3,3,5,21,14,3
GER 8598,Anna Heinisch,Bernd Heinisch,HSC,3,4,4,(11) DNF,3,25,14,4
GER 8658,Christina Wilhelm,Alexander Wilhelm,HSC,(6),5,2,5,6,24,18,5
GER 8934,Frank Beier,Hubertus Ritter,SCLM,4,(8),6,4,4,26,18,6
GER 9,Alexander Von Mertens,Christian Dörr,bsv07,5,(7),5,6,7,30,23,7
GER 8990,Ralf Breitenfeldt,Ingo Guenzel,HSC,(9),9,7,7,8,40,31,8
GER 8998,Ingo Schneider,Sebastian Hoering,SCLW,(10),6,8,8,10,42,32,9
GER 8691,Harald König,Katja Frühwald-König,SRVL-S,8,(10),9,9,9,45,35,10
