Sail Number,Team,,Club,R1,R2,R3,R4,R5,R6,R7,T,N,Nr
GER 9198,Julian Stückl,Johannes Tellen,DTYC,1,(4),2,2,2,3,2,16,12,1
GER 9121,Jan-Philipp Hofmann,Felix Brockerhoff,DYC,3,1,(6),1,5,4,1,21,15,2
GER 9199,Daisenburger Micki,Dirk Penno,DTYC,2,3,(9),4,1,5,5,29,20,3
GER 9197,Nicola Birkner,Angela Stenger,B-044,7,2,(8),7,4,2,3,33,25,4
GER 9189,Hendrik Schultz,Ute Oberländer,SCLW,5,(8),3,6,3,6,4,35,27,5
GER 9182,Alexander Holzapfel,Finn Boeger,PSVK,6,5,4,5,(9),1,9,39,30,6
GER 9090,Christian Kellner,Bastian Henning,HSC,4,(12),1,11,7,8,7,50,38,7
GER 9101,Timon Treichel,Morten Roos,SVWU,(14),6,7,3,6,10,6,52,38,8
GER 9133,Frieder Achterberg,Wolfgang Stückl,DTYC,9,7,5,(12),11,9,11,64,52,9
GER 8861,Wolfgang Seifert,Ivonne Seifert,SCLW,8,11,11,8,8,7,(26) DNC,79,53,10
GER 9035,Ronald Roos,Kirsten Roos,SVWU,11,9,10,14,(19),19,8,90,71,11
GER 8580,Luis Tarabochia,Jakob Achterberg,DTYC,19,14,12,9,(20),12,10,96,76,12
GER 8702,Martin Handel,Volker Böhringer,YCL,12,(17),15,17,12,14,13,100,83,13
GER 8658,Christina Wilhelm,Alexander Wilhelm,HSC,16,10,(21),13,13,20,14,107,86,14
GER 8862,Robert Wisolek,Clemens Pirker,SCLW,10,13,(19),15,18,15,19,109,90,15
GER 9100,Nathalie Zeiler,Claudius Zeiler,SCLW,13,(26) DNF,20,18,14,11,16,118,92,16
GER 9114,Mats Westholm,Pedro Bohnenberger,SCLW,17,16,13,21,15,(22),12,116,94,17
GER 9,Alexander Von Mertens,Christian Dörr,bsv07,21,20,17,(23),10,13,17,121,98,18
GER 8598,Anna Heinisch,Bernd Heinisch,HSC,15,(18),16,16,17,17,18,117,99,19
GER 8531,Wilhelm Wollenbecker,Hermann Wollenbecker,YCBTF,23,22,18,10,16,(25),15,129,104,20
GER 8672,Dirk Hütten,Guido Von Walter,SGR,20,15,14,19,(23),16,20,127,104,21
GER 8518,Achim Funk,Jochen Heydolph,SCLW,18,19,(25),20,21,18,21,142,117,22
GER 8990,Ralf Breitenfeldt,Thore Von Puttkamer,HSC,(25),21,22,22,25,23,22,160,135,23
GER 8998,Ingo Schneider,Sebastian Hoering,SCLW,24,23,24,(25),24,21,23,164,139,24
GER 8691,Harald König,Michael Müller,SRVL-S,22,(26) DNF,23,24,22,24,26 DNC,167,141,25
