numer,sternik,załogant,klub,1,2,3,4,5,Suma,miejsce
POL 7942,Mieczysław Szwed,Piotr Kosobucki,CENTRUM ŻEGLARSKIE,1,*3,3,1,1,6,1
POL 8457,Mateusz Jura,Bartosz Chroł,AZS SGH WARSZAWA,*5,1,4,2,2,9,2
POL 8217,Jakub Kręciwilk,Wojciech Denderski,JKKP KAMIEŃ POMORSKI,2,2,1,*6,4,9,3
POL 8129,Konrad Plewa,Jerzy Plewa,ZKŻ ZBASZYŃ,4,*5,2,4,5,15,4
POL 5350,Adam Kuczyński,Andrzej Borowiak,ZKŻ ZBĄSZYŃ,3,4,6,*8,3,16,5
POL 8483,Mariusz Michalski,Piotr Duma,YK STAL GDYNIA,*6,6,5,5,6,22,6
POL 3026,Igor Graczyk,Maciej Graczyk,ZKŻ ZBĄSZYŃ,*DNC,7,7,3,8,25,7
POL 6611,Robert Zatorski,Kazimierz Pelasik,JC KAMIEŃ POMORSKI,7,*8,8,7,7,29,8
