Nr_żagl,Nazwisko,Punkty,1,3,4,5,6,,,2,Mce
POL 8665,Bartosz Makała, Łukasz Skrzycki, YK STAL,1,1,1,*2,1,1,5,1
POL 8416,Przemek Zagórski, Piotr Juckiewicz, STAL GDYNIA,2,2,2,1,2,*4,9,2
GBR 8208,Piotr Rzepecki, Paweł Prus, AZS SGH,5,*8,4,3,6,2,20,3
POL 7942,Mieczysław Szwed, Piotr Kosobucki, CENTRUM ŻEGLARSKIE,6,5,*7,5,3,3,22,4
POL 8129,Konrad Plewa, Jerzy Plewa, ZKŻ ZBĄSZYŃ,3,4,3,6,8,*9,24,5
POL 8451,Dariusz Rzadkowski, Krzysztof Rzadkowski, ZKŻ ZBĄSZYŃ,*8,3,6,4,5,6,24,6
POL 5350,Adam Kuczyński, Andrzej Borowiak, ZKŻ ZBĄSZYŃ,4,6,*9,7,4,7,28,7
POL 8483,Mariusz Michalski, Piotr Duma, YK STAL GDYNIA,7,*11,8,9,10,5,39,8
POL 9026,Łukasz Paszke, Maciej Graczyk, ZKŻ ZBĄSZYŃ,11,7,5,*dnf,dnf,8,43,9
POL 8422,Adam Domżalski, Jakub Doruch,,10,9,*11,10,7,10,46,10
GER 6611,Robert Zatorski, Krystian Doch, KAMIEŃ POMORSKI,9,10,10,8,9,*11,46,11
