"Numer na.
zagiu",Imie I Nazwisko Sternika,Mile I Nazwisko Zatoganta,Przynaleino klubowa,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,Race 9,Race 10,Race 11,suma punktow,miejsce w regatach
POL 8358,Jakub Pawluk,Marcin Józefowski,KS SPOJNIA WARSZAWA,2,1,*3,-3,2,1,1,1,1,3,2,14,1
POL 8665,Bartosz Makała,Łukasz Skrzycki,YK STAL GDYNIA,1,3,1,1,1,2,2,2,*5,1,*5,14,2
GER 8947,Ralf Schneidewind,Oliver Schurmann,SCRV,4,2,2,2,4,*6,3,*5,3,2,1,23,3
DEN 8828,Fabiola Wonterghem,Michael Wonterghem,OURE SEJLKLUB,3,4,*OW,5,*6,3,4,3,4,4,3,33,4
POL 8416,Przemek Zagórski,Piotr Juckiewicz,YK STAL GDYNIA,*6,*6,4,4,3,4,5,4,2,6,4,36,5
POL 7942,Mieczysław Szwed,Piotr Kosobucki,CENTRUM ZEGLARSKIE,7,5,6,6,7,5,9,*11,8,8,*OCS,61,6
POL 7669,Antonina Żółtowska,Piotr Żółtowski,SK2 HESTIA SOPOT,5,7,10,7,5,*11,10,6,7,5,*DNF,62,7
POL 8451,Dariusz Rzadkowski,Łukasz Czaja,ZKZ ZBASZYN,10,9,7,9,*12,7,*12,9,9,11,6,77,8
POL 8457,Mateusz Jura,Bartosz Chroł,AZS SGH,11,*13,5,11,8,9,11,13,6,7,*OCS,81,9
POL 8129,Konrad Plewa,Jerzy Plewa,ZKZ ZBASZYN,*DNC,12,8,8,*13,13,8,7,13,9,8,86,10
POL 5350,Adam Kuczyński,Andrzej Borowiak,ZKZ ZBASZYN,12,10,9,10,9,10,*13,*16,11,10,7,88,11
POL 8483,Mariusz Michalski,Piotr Duma,YK STAL GDYNIA,8,8,*14,12,14,12,*15,10,12,12,10,98,12
POL 8222,Jakub Kręciwilk,Łukasz Grabia,JK KAMIEN POMORSKI,13,11,11,13,10,8,7,12,*DNF,*ONC,DNC,105,13
POL 8490,Łukasz Paszko,Maciej Graczyk,UKS KAtgBIE OSIECK/ZKZ ZBASZYN,9,*DNS,*DNC,DNC,11,DNF,6,8,10,14,DNF,118,14
POL 8422,Adam Domżalski,Jakub Doruch,PSK 505,*DNC,*16,12,15,16,14,16,15,14,13,9,124,15
POL 6611,Robert Zatorski,Kazimierz Pelasik,JK KAMIEN POMORSKI,14,15,13,14,*17,15,17,*ONC,16,15,11,130,16
POL 8663,Karol Tobolski,Jakub Tobolski,NIEZRZESZONY,*DNC,14,*DNC,DNC,15,16,14,14,15,OCS,DNF,148,17
POL 2036,Krzysztof Osiak,Grzegorz Kidacki,EXOCET RACING TEAM,*DNC,*DNS,DNC,DNC,DNC,DNC,DNC,DNC,17,DNC,DNC,177,18
POL 8217,Maciej Kropidłowski,Michał Zera,KS ZATOKA PUCK/UKS BARNIM GOLENIOW,*DNC,*DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC,180,19
