POL Numer na żaglu,Imię i nazwisko sternika,Imię i nazwisko załoganta,Przynależność klubowa,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7 Suma,punktów:,"Miejsce w
POL regatach"
POL 8665,Bartosz Makała,Łukasz Skrzycki,,11*,1,1,1,2,1,1,7,1
POL 8416,Przemek Zagórski,Piotr Juckiewicz,,11*,2,2,2,1,2,2,11,2
POL 7942,Mieczysław Szwed,Jacek Szwed,,1,3,3,11*,3,3,4,17,3
POL 8451,Dariusz Rzadkowski,Krzysztof Rzadkowski,,11*,5,6,3,4,4,3,25,4
POL 8129,Konrad Plewa,Jerzy Plewa,,5,4,4,4,0,6,5,28,5
POL 8721,Łukasz Paszko,Andrzej Borowiak,,4,6,5,5,6,5,11*,31,6
POL 8483,Mariusz Michalski,Piotr Duma,,7,7,7,11*,5,7,6,39,7
POL 8222,Łukasz Grabia,Wojciech Denderski,,6,8,9,6,11,11,11*,51,8
POL 6611,Robert Zatorski,Kazimierz Pelasik,,11,9,8,7,7,11,11*,53,9
POL 8457,Mateusz Jura,Jakub Borkowski,,11,10,11,11,11,11,11*,65,10
