Nation,Sail No,Helm,Crew,Club,R1,R2,Pts,Pos
GBR,8701,Napier Rob,Watters Charlie,Hayling Island SC,1,2,3,1st
GBR,8419,Stuart Turnbull,Jason Lunn,Burton SC,3,1,4,2nd
GBR,8489,John Webster,Eric Ironmonger,Burton SC,2,3,5,3rd
GBR,8591,Dave Bell,Peter Ward,Burton SC,5,4,9,4th
GBR,8694,Andy Williams,Andy Edmonds,PYSC,4,5,9,5th
GBR,8464,David Hitcock,Ian Nicholson,Queen Mary,7,7,14,6th
GBR,8474,Chris Thorne,Chris Romans,Portishead SC,DNF,6,16,7th
GBR,8726,Martin Stainsby,Steve Watson,Hayling Island,6,OCS,16,8th
GBR,8685,Michael Sims,,Burton,DNC,DNC,20,9th
