Nat,Sail No,Helm,Crew,Club,R1,R2,R3,R4,R5,R6,R7,Pts,Pos
GBR,8774,Ian Pinnell,Steve Hunt,Hayling Island SC,1,1,2,1,[25 DNF],1,2,8,1st
FRA,8802,Phillipe Boite,Briffoteaux,CV Meaux,[3],2,1,2,1,2,1,9,2nd
GBR,8685,Richard Sims,Simon Wood,Burton SC,7,3,7,5,4,7,[10],33,3rd
GBR,8556,Mike Hart,Matt Toone,Shotley SC,5,8,5,6,3,10,[17],37,4th
GBR,8552,Russell Short,Andrew Short,Burton SC,[17],9,4,12,7,3,4,39,5th
GBR,8419,Stuart Turnbull,Jason Lunn,Burton SC,12,4,8,4,[25 DNF],5,9,42,6th
GBR,8734,Debbie Jarvis,Richard Stenhouse,GWSC,11,11,3,11,[25 DNF],4,3,43,7th
GBR,8694,Andy Williams,Andy Edmonds,Portishead Y & SC,4,5,15,3,[25 DNF],9,8,44,8th
GBR,8705,Thoralf Greger,Simon J Lake,Hayling Island SC,8,[25 DNF],13,8,5,11,5,50,9th
GBR,8555,David Smithwhite,Paul Young,Hayling Island SC,2,6,[25 DSQ],25 DNC,2,8,12,55,10th
GBR,8708,Martin Wedge,Scott Allen,RBYC,[25 DNF],12,9,13,8,6,7,55,11th
GBR,8752,Chris Dando,Donald Sloan,Stone SC,9,10,12,9,6,[16],11,57,12th
GBR,8489,John Webster,Eric Ironmonger,Burton SC,6,7,11,10,11,13,[16],58,13th
GER,8788,Peter Gerdts,Karsten Lahrs,SVC,13,[16],16,16,9,12,6,72,14th
GBR,8650,Terry Selfe,Alan Montague,Stone SC,14,[25 DNF],14,7,13,19,14,81,15th
GBR,8726,Martin Stainsby,Bill Munnery,Hayling Island SC,15,13,6,[25 DNF],25 DNC,15,13,87,16th
GBR,8780,Jack Hayhurst,Adrian Coates,Burton SC,10,[25 DNF],10,25 DNF,12,14,18,89,17th
GBR,8568,John Donnelly,David Williams,Stokes Bay SC,[20],17,19,15,14,17,15,97,18th
GBR,8474,Chris Thorne,James McDonald,Portishead Y & SC,18,15,21,17,10,21,[25 DNF],102,19th
GBR,8625,Melvyn Newman,Alex Cull,Queen Mary YC,16,[25 DNF],18,14,15,18,21,102,20th
GBR,8678,Jim Berry,Rich Berry,CVLSC,19,14,17,18,[25 DNF],20,19,107,21st
GBR,8107,Ian Hotchkiss,A Black,Clevedon SC,[25 DSQ],25 DSQ,23,21,16,24,22,131,22nd
GBR,8532,Tom Clayton,Gael Le Mauguen,Shotley SC,[25 DNF],DNS,20,19,25 DNF,22,20,131,23rd
GBR,7546,Laurence Milton,Charles Milton,Helensburgh SC,[25 DNF],25 DNF,22,20,25 DNF,23,23,138,24th
