Country,Boot,Steuermann,Vorschoter,Club,Race1,Race2,Race3,Points,Place
AUS,8817,Nick Davis,Michael Duffield,,5,4,10,19,1
GER,8992,Claas Lehmann,Leon Oehme,NRV,8,12,5,25,2
USA,8762,Howie Hamlin,Andy Zinn,,16,10,4,30,3
AUS,9018,Robin Duessen,Jordan Spencer,,9,16,8,33,4
USA,8878,Ted Conrads,Brian Haines,,25,8,2,35,5
AUS,8946,Sandy Higgins,Paul Marsh,,15,7,14,36,6
AUS,9036,Michael Quirk,Sam Heritage,,18,1,18,37,7
HKG,9055,Mark Thornburrow,Laurence Mead,,19,13,7,39,8
GER,9027,Wolfgang Hunger,Julien Kleiner,PYC,1,27,12,40,9
USA,9002,Mike Holt,Carl Smit,,6,2,33,41,10
GBR,9032,Ian Pinnel,Charles Dwyer,,2,25,17,44,11
USA,8681,Ryan Cox,Stu Park,,14,34,6,54,12
USA,8714,Mike Martin,Geoff Ewenson,,3,9,50,62,13
GBR,9006,Terry Scutcher,Christian Diebitsch,,13,39,11,63,14
GBR,9056,Luke Molloy,Jim Turner,,22,17,24,63,15
AUS,8783,Michael Thomson,Marcus Cooper,,39,6,20,65,16
AUS,8922,Bill Cuneo,John Warlow,,7,37,22,66,17
GER,9028,Stefan Köchlin,Thomas Jung,SKF,4,33,30,67,18
AUS,8973,Brett Sharpe,Anthony Gaunt,,21,42,13,76,19
AUS,8890,Malcolm Higgins,Andrew Chisholm,,35,3,40,78,20
GER,9043,Nicola Birkner,Angela Stenger,SVaW,31,49,1,81,21
AUS,8957,Kevin Cameron,Josh Mortensen,,26,41,15,82,22
USA,8831,Paul Von,Doug Hagen,,30,19,34,83,23
AUS,8893,Ryan Menzies,Joel Castle,,32,22,35,89,24
AUS,8840,Shane Guanaria,Leigh Riddell,,42,32,16,90,25
FRA,9010,Xavier Broise,Gilles Carvallo,,50,11,32,93,26
AUS,8626,Nathan Outteridge,Iain Jensen,,41,28,27,96,27
AUS,8877,Daniel Keys,Darryl Roos,,52,21,25,98,28
AUS,8801,Peter Chappell,Matt Smith,,23,15,61,99,29
USA,9009,Bruce Edwards,Mathias Kennerknecht,,27,29,43,99,30
AUS,8523,Ayden Menzies,Lachlan Hornsby,,38,20,44,102,31
GER,8875,Jens Findel,Johannes Tellen,,11,5,88,104,32
AUS,8781,Earle Alexander,Ian Gregg,RQYS,44,18,47,109,33
USA,8792,Carol Buchan,Carl Buchan,,51,58,3,112,34
AUS,9037,Nigel Lott,Bob Franks,RQYS,63,31,19,113,35
AUS,8796,Nicholas Deussen,Jonno Bannister,,36,43,36,115,36
GER,9040,Meike Schomäker,Holger Jess,ZSK,20,14,88,122,37
