Country,SailNo,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Total,Nett,Rank
GER,9027,Wolfgang Hunger,Julien Kleiner,,1,1,3,[15],4,2,6,32,17,1
USA,9002,Mike Holt,Carl Smit,,3,6,1,3,6,1,[7],27,20,2
AUS,8946,Sandy Higgins,Paul Marsh,,2,7,5,1,3,7,[9],34,25,3
USA,8762,Howard Hamlin,Andrew Zinn,,4,[10],6,4,8,3,1,36,26,4
GBR,9056,Luke Molloy,Jim Turner,,14,11,2,5,5,[86 DNF],3,126,40,5
USA,8878,Edward Conrads,Brian Haines,,7,2,10,2,9,11,[15],56,41,6
DEN,8964,Jan Saugmann,Morten Ramsbæk,,[86 DNF],9,17,16,1,4,2,135,49,7
GBR,9032,Ian Pinnell,Charles Dwyer,,8,13,8,10,[86 DNF],5,5,135,49,8
AUS,8626,Nathan Outteridge,Iain Jensen,,9,3,7,8,11,[22],22,82,60,9
USA,8714,Mike Martin,Geoff Ewenson,,[23],4,22,9,10,8,8,84,61,10
GER,8875,Jens Findel,Johannes Tellen,,5,5,16,25,[29],6,10,96,67,11
AUS,8922,Bill Cuneo,John Warlow,,12,17,23,6,23,[32],4,117,85,12
AUS,8794,Michael Babbage,James McAllister,,[86 DNF],14,14,18,17,10,16,175,89,13
AUS,9018,Robin Deussen,Jordan Spencer,,11,18,18,[86 DNF],14,9,26,182,96,14
GER,8992,Claas Lehmann,Leon Oehme,,18,22,24,7,[28],23,19,141,113,15
AUS,8957,Kevin Cameron,Josh Mortensen,,33,16,[37],22,2,13,32 SCP,155,118,16
GER,9040,Meike Schomäker,Holger Jess,,20,[45],13,17,38,17,14,164,119,17
USA,8681,Ryan Cox,Stuart Park,,[30],21,11,28,20,14,29,153,123,18
AUS,8890,Malcolm Higgins,Andrew Chisholm,,26,19,12,[31],25,24,17,154,123,19
AUS,8853,Carter Jackson,Peter Holden,,10,30,9,46,[51],16,13,175,124,20
AUS,8840,Shane Guanaria,Leigh Riddell,,25,8,19,14,18,[86 DNF],43,213,127,21
GER,9028,Stefan Köchlin,Thomas Jung,,19,26,28,21,19,[86 DNF],31,230,144,22
USA,7875,Jeff Miller,Mike Smith,,31,34,31,19,15,15,[86 DNF],231,145,23
AUS,8817,Nick Davis,Michael Duffield,,21,23,[40],27,31,20,28,190,150,24
AUS,8877,Daniel Keys,Daryl Roos,,[38],29,20,34,26,12,30,189,151,25
AUS,9037,Nigel Lott,Robert Franks,,28,20,[49],26,43,18,20,204,155,26
CAN,8192,Philip Cragg,Reto Corfu,,16,28,27,37,24,[86 DNF],25,243,157,27
HKG,9055,Mark Thornburrow,Laurence Mead,,[56],53,42,20,7,26,12,216,160,28
GBR,9006,Terry Scutcher,Christian Diebitsch,,24,25,4,12,[86 DNF],86 DNF,11,248,162,29
GER,9054,Helen Fischer,Lars Derschotte Dehne,,32,[48],32,38,13,25,33,221,173,30
AUS,8797,Peter Nicholas,Luke Payne,,42,[86 DNF],25,30,39,21,21,264,178,31
AUS,8894,Paul Mitchell,Sam Haines,,43,31,33,[50],16,19,42,234,184,32
AUS,8973,Brett Sharpe,Anthony Gaunt,,22,[86 DNF],41,24,22,35,40,270,184,33
USA,9009,Bruce Edwards,Mathias Kennerknecht,,41,15,21,11,[86 DNF],86 DNF,18,278,192,34
AUS,8783,Michael Thompson,Marcus Cooper,,39,32,35,36,[41],28,23,234,193,35
AUS,8801,Peter Chappell,Matt Smith,,17,39,[47],44,40,27,34,248,201,36
USA,8831,Paul von Grey,Douglas Hagan,,29,40,30,58,37,[86 DNF],24,304,218,37
AUS,8796,Nicholas Deussen,Jonno Bannister,,34,36,36,43,34,[86 DNF],37,306,220,38
AUS,8781,Earle Alexander,Ian Gregg,,37,38,43,32,[86 DNF],38,41,315,229,39
USA,8084,Aaron Ross,Rob Waterman,,45,[50],39,40,33,37,47,291,241,40
AUS,9036,Michael Quirk,Sam Heritage,,6,12,26,33,[86 DNF],86 DNF,86 DNF,335,249,41
AUS,8644,Brett Beyer,Darren Gilbert,,15,35,29,13,[86 DNF],86 DNF,86 DNS,350,264,42
AUS,8920,Jeffrey Robinson,Neville Kerr,,48,24,46,54,47,45,[86 DNS],350,264,43
