GBR,Sail,Helm,Crew,,R1,R2,R3,Pts.,Place
GBR,8676,Clive Robinson,Gary Cawthorne,,1,1,1,3,1
GBR,8495,David Peacock,Chris Hewkin,,4,2,2,8,2
GBR,8419,Stuart Turnbull,Jason Lunn,,3,5,5,13,3
GBR,8489,John Webster,Eric Ironmonger,,2,6,6,14,4
GBR,8494,Peter Andreae,Rob Stallard,,6,3,7,16,5
GBR,8568,Charles Walters,Christian Diebitsch,,14,4,4,22,6
GBR,8508,Sam Neal,Robin Annett,,13,7,3,23,7
GBR,8678,Jim Berry,Rich Berry,,5,9,10,24,8
GBR,8474,Chris Thorne,Andy Tyas,,7,10,11,28,9
GBR,8095,Peter Burwood,Steve Burwood,,12,8,9,29,10
GBR,8591,Dave Bell,Peter Ward,,13,13,8,34,11
