Nation,Boat No,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Points,Place
GBR,8460,Martin Goult,Gordon Russell,Burghfield SC,2,3,1,3,4,2,,1
GBR,8548,Jack Heyhurst,Adrian Coates,Burton SC,3,2,4,8,2,1,,2
GBR,8495,Dave Peacock,Chris Hewkin,Burton SC,1,1,rtd,2,6,4,,3
GBR,8678,Jim Berry,John Peats,Chew Valley SC,5,4,3,4,7,8,,4
GBR,8736,Ian Pinnell,Christian Diebitsch,GWSC,DNS,DNS,DNS,1,1,5,,5
GBR,8705,Darren Grover,Simon Lake,GWSC,4,rtd,2,7,8,7,,6
GBR,8331,Richard Lord,Andy Palmer,GWSC,DNS,DNS,DNS,5,3,3,,7
GBR,8072,Michael Sims,Ben Coates,Burton SC,RTD,RTD,5,6,5,6,,8
GBR,8095,Stephen Burwood,Andy Rowan,GWSC,DNS,DNS,DNS,RTD,9,9,,9
