Nation,Sail No,Helmsman,Crew,,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Net Points,Place
GBR,8720,Pinnell,Powell,,3,1,2,1,1,37,8,1
GBR,8481,Payne,Masterman,,2,2,4,3,11,1,12,2
GBR,8552,Upton-Brown,Mitchell,,37,10,1,2,4,3,20,3
GBR,8676,Robinson,Cawthorn,,37,13,5,6,2,5,31,4
GBR,8707,Nicholson,Mildred,,17,4,37,4,6,2,33,5
GBR,8495,Peacock,Hewkin,,10,5,7,10,7,8,37,6
GBR,8568,Walters,Diebitsch,,7,9,8,12,10,4,38,7
USA,8342,Holt,Beasley,,9,7,9,9,5,37,39,8
GBR,8705,Scutcher,Lake,,1,3,37,17,12,7,40,9
GBR,8508,Neal,Annett,,11,6,6,13,14,9,45,10
GBR,8378,Hodgson,Macleod,,5,8,37,8,18,10,49,11
GBR,8701,Lovesy,Williams,,6,14,3,14,13,16,50,12
GBR,8291,Sims,Wood,,12,12,10,18,8,13,55,13
GBR,8307,Foddy,Smithin,,13,17,11,21,9,11,61,14
GBR,8419,Turnbull,Lunn,,14,11,14,19,19,14,72,15
GBR,8526,Tim Bird,Andrew George,,16,19,13,22,20,12,80,16
GBR,8694,Williams,Hunt,,8,37,12,16,17,37,90,17
GBR,7755,Hutson,Clarkson,,19,18,15,29,24,18,94,18
GBR,8708,Wedge,Beloe,,37,37,37,5,16,6,101,19
GBR,8429,Napier,Morrison,,37,37,37,11,3,15,103,20
GBR,8423,Wright,Wright,,18,16,16,28,25,37,103,21
GBR,8583,Longstaff,Hughes,,37,15,37,20,15,17,104,22
GBR,8556,Tew,Ironmonger,,4,37,37,7,37,37,122,23
GBR,8467,Chris Romans,Brenda Romans,,37,20,37,26,26,19,128,24
GBR,8672,Odell,Streeter,,37,21,37,15,21,37,131,25
GBR,8418,Wain,Peats,,37,37,37,25,22,20,141,26
GBR,8380,Stainsby,Bennett,,37,37,37,24,23,21,142,27
GBR,8678,Jim Berry,Richard Berry,,15,22,37,37,37,37,148,28
GBR,8249,Newlyn,Williams,,37,37,37,30,28,22,154,29
GBR,8234,Lines,Beaty-Pownall,,37,37,37,31,29,23,157,30
GBR,7353,Lane,Draper,,37,37,37,32,31,24,161,31
GBR,8574,Martin,Perkins,,37,37,37,27,37,37,175,32
GBR,8434,Fernley,Matthews,,37,37,37,23,37,37,171,33
GBR,8510,Andrew Thorp,Nick Thorp,,37,37,37,37,30,37,178,34
GBR,8368,Wills,Amis,,37,37,37,37,37,37,185,35
GBR,8217,Adrian Lane,Geoff Lane,,37,37,37,37,37,37,185,35
