Nation,Boat NO,Helm,Crew,Club,Race 1,Points,Place
GBR,8552,Mark Upton-Brown,Ian Mitchell,Hayling Island SC,1,1,1
GBR,8432,Debbie Jarvis,Dan Johnson,Grafham Water SC,2,2,2
GBR,8568,Chas Walters,Christian Diebitsch,Datchet,3,3,3
GBR,8460,Martin Goult,Gordon Russell,Burghfield SC,4,4,4
GBR,8707,Steve Nicholson,John Mildred,Notts County SC,5,5,5
GBR,8676,Clive Robinson,Garry Cawthorn,Burton SC,6,6,6
GBR,8495,Dave Peacock,Chris Hewkin,Burton SC,7,7,7
GBR,8429,Rob Napier,Kimball Morrison,House of Lords YC,8,8,8
GBR,8705,Terry Scutcher,Simon Lake,Grafham Water SC,9,9,9
GBR,8556,Richard Tew,John Ironmonger,Burton SC,10,10,10
GBR,8526,Tim Bird,Arthur George,Burton SC,11,11,11
USA,8342,Mike Holt,Paul Beasley,Halfway YC,12,12,12
GBR,8720,Ian Pinnell,Nick Powell,Grafham Water SC,13,13,13
GBR,8291,Richard Sims,Simon Wood,Burton SC,14,14,14
GBR,8418,Eamon Cuthbert,Mark Cuthbert,Leigh & Lowton SC,15,15,15
GBR,8679,Ian Montague,Neil Fulcher,Stone SC,16,16,16
GBR,8419,Stuart Turnbull,Jason Lunn,Burton SC,17,17,17
GBR,8508,Sam Neal,Robin Annett,Grafham Water SC,18,18,18
GBR,855,Lawrence Fernley,Matthew Breff,King George Iv,19,19,19
GBR,8672,Miles Odell,Andrew Streeter,Hayling Island SC,20,20,20
GBR,8072,Michael Sims,Andrew George,Burton SC,21,21,21
GBR,8694,Andy Williams,Steve Hunt,Portishead SC,22,22,22
GBR,8708,Martin Wedge,Nick Beloe,Royal Burnham YC,23,23,23
GBR,8583,Mark Longstaff,David Hughes,Grafham Water SC,24,24,24
GBR,8378,Martin Hodgson,Alastair Macleod,Stone SC,25,25,25
GBR,8574,Lee Martin,Steve Perkins,Stone SC,26,26,26
GBR,8489,John Webster,Eric Ironmonger,Urton SC,27,27,27
GBR,8305,Russell Short,Andrew Short,Burton SC,28,28,28
GBR,8511,Andrew Hodgson,Chris Taylor,Bala SC,29,29,29
GBR,8095,Stephen Burwood,Peter Burwood,Grafham Water SC,30,30,30
GBR,8423,Martin Wright,Chris Wright,Bala SC,31,31,31
GBR,8700,Clive R. Davis,Kenny Robertson,Prestwick,32,32,32
FRA,8704,Jean-Baptiste Dupont,Jonathan Rennie,Bough Beech,33,33,33
GBR,8358,Tom Wain,John Peats,Felixstowe Ferry SC,34,34,34
GBR,8510,Andrew Thorp,Nick Thorp,Shotley SC,35,35,35
GBR,8474,Chris Thorne,Andy Tyas,Portishead SC,36,36,36
GBR,7502,Colin Wills,Chris Roper,Hunstanton,37,37,37
GBR,8494,Peter Ardreae,Robert Stallard,Felixstowe Ferry,DNF,38,TDA
GBR,8555,Dave Smithwhite,Paul Young,Hayling Island SC,DNF,38,TDA
GBR,8514,Andrew Fitzgerald,Tim Rains,Felixstowe Ferry,DNF,38,TDA
