Nation,Boat No,Helm,Crew,,R1,R2,R3,R4,R5,R6,R7,Points,Place
GBR,8736,Ian Pinnell,Nick Powell,Northampton,12,4,1,1,1,1,1,9,1
GBR,8552,Mark Upton-Brown,Ian Mitchell,HISC,2,11,3,2,27,4,2,24,2
FRA,8702,Philippe Boite,Régis Viateur,"Meaux,France",1,3,27,12,2,2,6,26,3
GBR,8481,Simon Payne,Bill Masterman,HISC,10,2,7,4,4,5,5,27,4
GBR,8676,Clive Robinson,Gary Cawthorne,Burton,13,1,10,5,3,15,4,36,5
GBR,8432,Debbie Jarvis,Dan Johnson,Grafham/Burton,3,14,2,11,6,6,8,36,6
GBR,8707,Steve Nicholson,John Mildred,Northampton,25,5,4,9,7,10,3,38,7
GBR,8495,David Peacock,Chris Hewkin,Burton,30,10,5,7,5,9,7,43,8
USA,8342,Mike Holt,Paul Beasley,Halfway,26,6,9,15,39,3,9,68,9
GBR,8460,Martin Goult,Gordon Russell,Burghfield,5,21,13,6,35,19,10,74,10
GBR,8419,Stuart Turnbull,Jason Lunn,Burton,7,15,12,16,15,11,14,74,11
GBR,8694,Andy Williams,Andy Edmonds,Portishead,35,9,6,19,11,13,23,81,12
GBR,8378,Martin Hodgson,Alistair MacLeod,Stone,6,18,19,22,10,16,12,81,13
GBR,8568,Charles Walters,Christian Diebitsch,Datchet Water,4,26,22,10,21,8,21,86,14
GBR,8381,Jim Hunt,Steve Adams,Thorpe Bay,17,25,15,3,17,14,22,88,15
GBR,8429,Robert Napier,Keith Summersgill,House of LordsYC/Lowton,27,13,21,13,8,20,17,92,16
GBR,8535,Dougal Cram,Francis Cram,HISC,8,23,8,17,25,12,35,93,17
GBR,8377,Hector Cisneros,Lawrence Crispin,Stone,22,22,11,14,24,25,DNC,118,18
GBR,8467,Chris Romans,Colin Jarvis,Portishead,14,12,18,31,22,26,27,119,19
GBR,8650,Ian Montague,Geoff Kimber,Stone,34,16,28,8,29,7,DNC,122,20
GBR,8708,Martin Wedge,Nick Beloe,RBYC,32,20,29,27,9,24,13,122,21
GBR,8640,Vernon Ralston,Simon Spratt,Thorpe Bay,30,8,23,20,23,23,DNC,127,22
GBR,8489,John Webster,Eric Ironmonger,Burton,15,27,26,25,38,22,15,130,23
GBR,8508,Sam Neal,John Ward,Grafham Water,21,38,17,26,12,34,26,136,24
GBR,8726,Martin Stainsby,Jim Bennett,HISC,12,34,30,35,13,30,18,137,25
GBR,8701,Paul Lovesy,Andy Matthews,Stokes Bay,25,39,14,DNC,28,21,11,138,26
GBR,8494,Peter Andreae,Robert Stallard,Felixstowe Ferry,19,19,20,32,46,28,20,138,27
GBR,8306,Chris Robinson,Tom Phillips,Burton,36,7,33,33,36,17,24,150,28
GBR,8483,Simon Sydenham,Nigel James,Aldeburgh YC,10,43,37,30,14,33,33,157,29
GBR,8408,Roger Sherwood,Nick Willis,HISC,18,17,38,50,18,31,37,159,30
GBR,8291,Richard Sims,Simon Wood,Burton,23,32,25,28,31,40,25,164,31
GBR,8307,Paul Foddy,Peter Smithin,Stokes Bay,39,28,DNC,34,19,29,19,168,32
GBR,8305,Andrew Short,Russell Short,Burton,28,30,32,24,33,32,30,176,33
GBR,8705,Richard Lord,Simon Lake,Grafham Water,33,29,31,21,DNC,18,DNC,183,34
GBR,8678,Jim Berry,David Barnes,Chew Valley,20,36,40,36,26,39,28,185,35
GBR,8555,David Smithwhite,Paul Young,HISC,DNC,31,24,18,DNC,DNC,16,191,36
GBR,7894,John Walker,James Turner,Burton,DNC,42,36,37,16,37,31,199,37
GBR,8672,Miles Odell,Andrew Streeter,HISC,DNC,24,16,23,40,DNC,DNC,205,38
GBR,8625,Melvyn Newman,Alex Cull,Queen Mary,31,35,42,38,37,41,29,211,39
GBR,8423,Martin Wright,Chris Wright,Bala,38,40,43,29,47,42,32,224,40
GBR,8304,Chris Pearson,Frank Rainsborough,Queen Mary,DNC,33,35,39,45,35,38,225,41
GBR,8690,Ian Gould,George Simpkins,Arun,16,45,DNC,DNC,32,36,DNC,231,42
GBR,8474,Chris Thorne,Andy Tyas,Portishead,41,37,34,42,44,43,34,231,43
GBR,848*,Tom Wain,John Peats,Felixstowe FerrySC,40,41,39,40,42,44,36,238,44
GBR,8217,Adrian Lane,Geoff Lane,Stokes Bay,37,47,44,43,30,46,41,241,45
GBR,8234,David Lines,Julie Nuttall,Queen Mary,DNC,44,41,DNC,34,38,39,247,46
GBR,8679,Neil Connelly,Neil Fulcher,Stone,DNC,DNC,DNC,DNC,20,27,DNC,251,47
GBR,8532,Tom Clayton,Dennis Hyatt,Shotley,DNC,46,45,41,43,45,40,260,48
GBR,8138,Andrew Draper,Simon Johnson,Queen Mary,DNC,DNC,46,44,41,47,42,271,49
GBR,8380,Dick Rowe,Ashford Brown,Lyme Regis,DNC,DNC,DNC,DNC,48,DNC,DNC,303,50
