Nation,Sail,Helm,Crew,Club,Race1,Race2,Race3,Race4,Race5,Race6,Points,Place
GBR,8701,Rob Napier,Kimball Morrison,,2,1,1,4*,1,1,6,1
GBR,8885,Ben Iliffe,Simon Lake,,3,3,4*,1,2,2,11,2
IRL,8408,Ewen Barry,Charles Dwyer,,1,2,2,7*,3,4,12,3
GBR,8836,Martin Wedge,Neil Fulcher,,4,5*,3,3,5,3,18,4
IRL,8429,Michael Ennis,Fenton Parsons,,5,4,5,5,4,11*,23,5
IRL,18408*,Alex Barry,Sandy Rimmington,,8*,7,6,2,6,6,27,6
IRL,8309,Peter Scannell,Joe Bruen,,7,9,12*,6,7,5,34,7
GBR,8907,Jim Berry,David Barnes,,12*,6,7,8,9,8,38,8
IRL,8357,Michael O'Brien,John O'Gorman,,6,11*,10,10,8,9,43,9
IRL,8072,Chris Marwood,Stan Reynolds,,9,8,8,11*,10,10,45,10
IRL,8358,Brian Jones,Dale Spoonley,,10,10,9,9,12*,7,45,11
IRL,8123,James O'Brien,Andrew Welland,,11,12*,11,12,11,12,57,12
