Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Brutto,Netto,Place
GER,8769,Stefan Böhm,Gerald Roos,SCV,1,1,1,3,1,2,2,11,,1
FRA,8802,Philippe Boite,Fabrice Toupet,CVM,2,2,2,1,6,1,1,15,,2
GER,8567,Michael Rössler,Holger Neuhaus,SKMD,4,4,3,2,2,4,3,22,,3
GER,8747,Jörg Thumann,Oliver Stieglitz,TuSJ,5,6,5,5,4,3,7,35,,4
BEL,8463,Emil Van Hemeldonck,Jan Van Hemeldonck,VVW,6,DNC 14,7,6,5,6,5,49,,5
FRA,8742,Philippe Noclain,Jean-Marc Noclain,CVA,7,5,9,7,10,8,6,52,,6
SUI,8729,Philippe Stauffer,Philippe Jacot,,3,3,4,DNC 14,DNC 14,DNC 14,4,56,,7
GER,8441,Rainer Gerdes,Falk Stenger,SSCK,9,7,8,8,7,7,8,54,,8
GER,8788,Karsten Lahrs,Peter Gerdts,HYC,DNC 14,DNC 14,6,4,3,5,DNC 14,60,,9
FRA,8688,Bernard Blondy,Roger Chabaud,CVA,8,DNC 14,10,10,9,11,9,71,,10
BEL,8352,Benoît Raucent,Phillippe Chevelier,ULYC,DNC 14,DNC 14,11,9,8,9,12,77,,11
BEL,6437,Bert Lernout,Jeoren Belis,,10,DNC 14,12,12,11,10,10,79,,12
BEL,7695,Didier Trine,Philippe Vandersteen,KYC,DNC 14,DNC 14,13,11,12,12,11,87,,13
