Naiton,Sail no,Helm,Crew,Club,Race 1,Race 2,Points,Position
GBR,8676,Clive Robinson,Gary Cawthorn,,4,1,5,1
GBR,8556,Terry Scutcher,Richard Tew,,1,4,5,2
GBR,8419,Stuart Turnbull,Jason Lunn,,3,6,9,3
GBR,8694,Andy Williams,Andy Edmonds,,11,3,14,4
GBR,8306,Chris Robinson,Kevin Phillips,,10,7,17,5
GBR,8678,Jim Berry,Rich Berry,,7,10,17,6
GBR,8307,Paul Foddy,Peter Smithin,,6,13,19,7
GBR,8291,Richard Sims,Simon Wood,,19,5,24,8
GBR,8429,Rob Napier,John Rennie,,16,9,25,9
GBR,8745,Chris Pearson,Frank Rainsborough,,15,11,26,10
GBR,8481,Simon Payne,Bill Masterman,,25,2,27,11
GBR,8679,Hector Cisneros,Lawrence Crispin,,2,25,27,12
GBR,8510,Andrew Thorp,Nick Thorp,,20,8,28,13
GBR,8532,Tom Clayton,Dennis Hyatt,,17,12,29,14
GBR,8460,Martin Goult,Gordon Russell,,5,25,30,15
GBR,8701,Paul Lovesy,Moorland,,8,25,33,16
GBR,8650,Ian Montague,Geoff Kimber,,9,25,34,17
GBR,8138,Draper,Parsons,,22,14,36,18
GBR,8408,Mike Leaver,Dylan Marvelly,,12,25,37,19
GBR,7911,John Donnelly,Williams,,13,25,38,20
GBR,8672,Miles Odell,Andrew Streeter,,14,25,39,21
GBR,7783,Hillman,Martin,,18,25,43,22
GBR,8251,Cole,Goodyear,,21,25,46,23
GBR,8434,Fernley,Brett Mattews,,25,25,50,24
