Nation,Boat no,Helm,Crew,Club,Race 1,Points,Positon
GBR,8331,Richard Lord,Louise Daniels/Daniel Ayton,,,,1
GBR,8464,David Lines,Ian Nicholson,,,,2
GBR,8625,Mel Newman,Alex Cull,,,,3
GBR,7353,Ann Lane,Frank Rainsborough,,,,4
GBR,8112,Andy Kite,Chas Spradbery,,,,5
GBR,8138,Andy Draper,Simon Johnson,,,,6
GBR,8525,Patrick McGale,Sean O'Neil,,,,7
